security_id,asset_class,currency,price,market_value,duration_years
SEC0000102,Equity,GBP,2552.23,265457610.81,9.55
SEC0000103,ETF,INR,8048.81,385378371.76,2.47
SEC0000104,Equity,EUR,5067.96,259194777.9,7.45
SEC0000105,Government Bond,USD,5404.84,422141573.74,1.0
SEC0000106,Money Market,INR,7915.54,271165534.52,4.96
SEC0000107,ETF,INR,8295.68,52948148.4,12.86
SEC0000108,Government Bond,GBP,4549.64,210318359.07,3.3
SEC0000109,ETF,INR,6313.08,120207289.84,3.41
SEC0000110,ETF,GBP,6064.41,250606454.57,12.74
SEC0000111,ETF,USD,2571.78,406727040.43,12.72
SEC0000112,ETF,INR,3658.28,263810032.28,0.43
SEC0000113,ETF,USD,7396.73,283776946.14,8.62
SEC0000114,Equity,INR,4759.62,381949526.03,1.04
SEC0000115,Money Market,USD,6397.78,495307402.57,11.03
SEC0000116,ETF,USD,7381.39,444340904.67,3.62
SEC0000117,Government Bond,EUR,7100.25,433609074.49,2.66
SEC0000118,ETF,USD,7280.32,330390391.51,12.59
SEC0000119,ETF,GBP,8755.39,112727479.75,14.6
SEC0000120,Money Market,GBP,5139.17,423679138.08,3.33
SEC0000121,Equity,USD,466.15,156198269.16,7.75
SEC0000122,ETF,GBP,5251.26,140496441.87,5.36
SEC0000123,ETF,GBP,3074.87,330909355.96,7.8
SEC0000124,Equity,INR,4073.48,97660459.02,7.48
SEC0000125,Money Market,USD,8249.96,99291228.53,11.02
SEC0000126,Equity,INR,3181.65,21301647.28,13.33
SEC0000127,Money Market,USD,4987.25,80634251.29,0.3
SEC0000128,Equity,USD,9604.71,106907814.86,5.94
SEC0000129,Corporate Bond,USD,8329.89,35581192.36,7.56
SEC0000130,Equity,INR,3042.85,363936678.39,5.18
SEC0000131,Money Market,GBP,9235.04,361347107.42,9.12
SEC0000132,Corporate Bond,GBP,552.29,147341894.73,12.56
SEC0000133,ETF,GBP,9356.55,173134694.87,2.42
SEC0000134,Corporate Bond,USD,6289.11,398101477.85,2.29
SEC0000135,ETF,INR,8246.3,70818447.57,11.49
SEC0000136,ETF,INR,4631.43,241362768.72,4.1
SEC0000137,Money Market,EUR,2037.07,262071471.96,13.65
SEC0000138,ETF,USD,2588.01,390805844.62,7.65
SEC0000139,Corporate Bond,EUR,7148.46,367711200.3,7.84
SEC0000140,Equity,USD,107.29,447195574.0,3.41
SEC0000141,Money Market,EUR,875.69,497881462.59,9.03
SEC0000142,Equity,USD,9631.13,423093971.75,3.21
SEC0000143,ETF,USD,4313.64,395095515.1,14.11
SEC0000144,Equity,INR,1598.01,121988013.52,13.55
SEC0000145,Equity,EUR,2190.65,262889753.35,11.99
SEC0000146,Government Bond,USD,7203.97,469328860.66,1.79
SEC0000147,Government Bond,EUR,8672.76,85864417.1,6.84
SEC0000148,Money Market,USD,6825.75,168062916.19,12.42
SEC0000149,ETF,INR,473.45,164449060.53,6.21
SEC0000150,Money Market,EUR,800.99,327710458.66,10.71
SEC0000151,Government Bond,GBP,2038.32,121498443.1,4.9
SEC0000152,Money Market,GBP,8565.13,293923554.43,9.4
SEC0000153,ETF,GBP,8810.18,17542326.26,14.74
SEC0000154,Equity,EUR,4602.04,489692999.38,10.24
SEC0000155,Corporate Bond,INR,3958.73,315829612.7,4.35
SEC0000156,Equity,GBP,1132.35,442797698.2,5.41
SEC0000157,Equity,INR,9089.4,455552585.3,10.52
SEC0000158,Equity,GBP,8009.74,204772084.22,3.36
SEC0000159,Corporate Bond,GBP,7469.36,351490640.15,4.32
SEC0000160,Corporate Bond,EUR,5995.15,229395142.14,12.27
SEC0000161,Money Market,EUR,9073.06,401145887.52,8.39
SEC0000162,Equity,INR,1974.13,470886499.82,2.63
SEC0000163,ETF,GBP,1738.23,234087921.7,2.52
SEC0000164,Government Bond,INR,6364.2,35117320.44,8.27
SEC0000165,Corporate Bond,GBP,7622.2,298503276.71,3.98
SEC0000166,Government Bond,USD,376.84,138647926.75,13.05
SEC0000167,Money Market,GBP,600.62,32411028.8,8.77
SEC0000168,Money Market,EUR,3902.82,55315940.87,11.44
SEC0000169,Money Market,USD,2103.12,372018171.98,11.36
SEC0000170,ETF,USD,1387.38,481920467.44,2.91
SEC0000171,Corporate Bond,USD,7828.13,376826496.11,1.49
SEC0000172,Government Bond,INR,4959.58,234126044.95,5.29
SEC0000173,Government Bond,INR,1942.89,81553486.58,9.36
SEC0000174,ETF,EUR,2334.69,497681508.79,11.66
SEC0000175,Equity,GBP,736.21,126193155.79,6.3
SEC0000176,ETF,INR,5790.27,245898700.56,14.64
SEC0000177,Corporate Bond,GBP,3751.84,478397872.2,0.17
SEC0000178,ETF,GBP,3465.71,189206910.34,13.31
SEC0000179,Government Bond,GBP,5986.65,471000108.07,10.09
SEC0000180,Equity,INR,1585.6,404588552.5,11.69
SEC0000181,Corporate Bond,USD,4318.71,335103036.13,11.36
SEC0000182,Equity,EUR,2248.81,136336019.03,0.68
SEC0000183,Corporate Bond,EUR,1191.86,290272603.48,5.19
SEC0000184,Government Bond,USD,211.32,154748553.1,14.94
SEC0000185,Equity,GBP,9276.79,383062452.55,9.62
SEC0000186,Money Market,GBP,2777.76,482733422.15,0.12
SEC0000187,Money Market,EUR,2585.32,172649529.63,2.19
SEC0000188,Equity,USD,1789.94,167112138.53,14.71
SEC0000189,ETF,GBP,2301.47,175905610.97,5.4
SEC0000190,Money Market,USD,2269.15,285531758.94,13.31
SEC0000191,Money Market,USD,8102.07,345678154.22,2.39
SEC0000192,Corporate Bond,INR,8884.47,353361185.06,3.38
SEC0000193,Equity,GBP,3214.31,31853902.76,13.19
SEC0000194,Equity,GBP,5410.94,248343787.44,10.45
SEC0000195,ETF,USD,6477.69,440930219.88,14.02
SEC0000196,Corporate Bond,EUR,2908.41,388893964.32,1.28
SEC0000197,Equity,EUR,6688.28,399031111.85,11.09
SEC0000198,Equity,GBP,4850.95,470816839.18,3.8
SEC0000199,Equity,USD,3412.64,344879715.66,10.79
SEC0000200,Equity,EUR,3092.72,462033365.42,3.97
SEC0000201,Government Bond,USD,9045.75,407480245.5,9.17
SEC0000202,Government Bond,EUR,1447.06,359428059.17,1.37
SEC0000203,Government Bond,EUR,6884.59,439259070.72,12.44
SEC0000204,Government Bond,GBP,6013.85,137691729.74,4.85
SEC0000205,Government Bond,EUR,1446.0,297997242.63,13.4
SEC0000206,Equity,USD,9530.58,168688335.92,0.06
SEC0000207,Corporate Bond,INR,4359.81,391054843.04,4.52
SEC0000208,Money Market,EUR,6063.4,403020401.6,0.4
SEC0000209,Government Bond,GBP,7523.15,167441589.76,12.08
SEC0000210,ETF,USD,8622.77,407548982.23,8.86
SEC0000211,ETF,GBP,4164.29,306501189.72,5.32
SEC0000212,Equity,GBP,2526.21,455999989.12,12.77
SEC0000213,Equity,INR,6055.74,316419877.45,2.0
SEC0000214,Equity,EUR,8204.55,330135068.05,10.09
SEC0000215,ETF,INR,1341.89,253445204.45,10.85
SEC0000216,Equity,GBP,2939.39,281162659.83,11.78
SEC0000217,Money Market,USD,524.28,187455650.36,1.14
SEC0000218,Corporate Bond,EUR,5283.83,141434594.6,4.82
SEC0000219,Corporate Bond,USD,8719.79,230954462.1,5.75
SEC0000220,Corporate Bond,EUR,3876.99,324002479.41,2.01
SEC0000221,Government Bond,EUR,6783.67,205099892.4,9.05
SEC0000222,Government Bond,USD,8382.66,73760228.96,1.97
SEC0000223,Equity,GBP,6595.15,274437396.73,7.87
SEC0000224,Corporate Bond,GBP,5521.34,127387575.24,1.67
SEC0000225,Corporate Bond,USD,947.83,380990286.58,5.44
SEC0000226,Equity,INR,2980.13,485330395.13,14.42
SEC0000227,Equity,INR,4503.29,340801282.46,13.71
SEC0000228,Government Bond,EUR,2355.15,356303748.1,11.16
SEC0000229,Government Bond,INR,5496.28,187003063.9,5.11
SEC0000230,ETF,EUR,5875.29,301308684.35,10.5
SEC0000231,Equity,USD,2667.6,351557300.15,11.52
SEC0000232,Government Bond,EUR,5899.85,427988369.02,0.49
SEC0000233,ETF,INR,5681.06,493819660.15,5.95
SEC0000234,Money Market,GBP,5978.21,1988822.48,3.47
SEC0000235,Equity,EUR,8572.39,50560851.75,1.81
SEC0000236,Corporate Bond,INR,24.25,107751782.93,3.63
SEC0000237,Corporate Bond,INR,4246.32,385089188.0,3.71
SEC0000238,Corporate Bond,GBP,2459.0,100030863.33,14.97
SEC0000239,ETF,USD,7537.77,255620839.09,6.76
SEC0000240,Equity,INR,9377.78,130247548.6,10.2
SEC0000241,Money Market,GBP,4559.38,225029667.42,8.26
SEC0000242,Equity,EUR,7329.33,178280154.86,2.19
SEC0000243,Equity,INR,1512.96,172989672.44,7.0
SEC0000244,ETF,EUR,6100.19,139294850.82,7.2
SEC0000245,Corporate Bond,USD,302.26,490837819.7,6.48
SEC0000246,Government Bond,GBP,1358.61,148383165.63,4.23
SEC0000247,Money Market,INR,4630.43,384392252.76,7.74
SEC0000248,Corporate Bond,GBP,2686.32,148811193.33,0.47
SEC0000249,Government Bond,INR,5293.74,36468439.92,0.75
SEC0000250,Government Bond,EUR,2572.71,220560473.92,10.47
SEC0000251,ETF,GBP,3408.99,373934449.21,9.74
SEC0000252,Corporate Bond,INR,2850.61,345812407.18,2.75
SEC0000253,Equity,USD,3098.63,35453351.63,9.2
SEC0000254,Government Bond,INR,3491.09,374733507.77,10.15
SEC0000255,Government Bond,GBP,1860.07,412560086.66,14.24
SEC0000256,Corporate Bond,INR,2929.68,81136366.51,5.36
SEC0000257,Corporate Bond,GBP,3814.0,427610970.4,2.5
SEC0000258,Money Market,EUR,8853.02,366757885.44,8.27
SEC0000259,Government Bond,USD,4908.98,486143102.42,10.56
SEC0000260,Government Bond,USD,961.54,131293472.82,10.48
SEC0000261,Corporate Bond,GBP,6068.24,58145113.01,5.09
SEC0000262,Corporate Bond,GBP,7513.06,369825208.54,0.49
SEC0000263,Government Bond,INR,1725.43,238101899.07,1.24
SEC0000264,Corporate Bond,EUR,4450.82,480394033.29,2.11
SEC0000265,Equity,INR,7320.08,150658680.75,8.45
SEC0000266,Money Market,GBP,3609.25,302368370.96,12.28
SEC0000267,Money Market,EUR,3568.78,394017210.5,5.69
SEC0000268,Government Bond,EUR,8923.96,256251877.71,7.2
SEC0000269,Equity,USD,2567.43,132427226.35,13.32
SEC0000270,Money Market,USD,5639.26,184815395.95,5.03
SEC0000271,ETF,GBP,5172.31,196381243.19,11.44
SEC0000272,Government Bond,GBP,2536.8,129630792.0,11.46
SEC0000273,Government Bond,GBP,9973.5,15481975.1,5.39
SEC0000274,ETF,USD,2333.7,417047610.51,14.5
SEC0000275,Corporate Bond,USD,1986.83,58707061.48,7.65
SEC0000276,Money Market,EUR,8775.81,84263531.14,10.94
SEC0000277,Corporate Bond,GBP,8093.46,124093117.74,1.85
SEC0000278,Money Market,EUR,8019.04,295793992.29,4.13
SEC0000279,Government Bond,GBP,8281.08,399326035.33,13.35
SEC0000280,Money Market,EUR,9820.98,8462019.36,7.75
SEC0000281,Money Market,INR,5298.06,437455763.23,9.54
SEC0000282,ETF,EUR,1924.1,315438987.35,4.26
SEC0000283,ETF,EUR,9418.5,52156916.42,0.61
SEC0000284,Government Bond,INR,1571.22,407179871.86,7.89
SEC0000285,Equity,EUR,9813.22,157535009.41,10.1
SEC0000286,Equity,INR,6678.59,490819175.67,7.44
SEC0000287,ETF,INR,492.96,311146402.77,0.7
SEC0000288,Money Market,USD,6080.26,244621925.46,7.72
SEC0000289,Money Market,EUR,9457.02,464611051.97,14.92
SEC0000290,Equity,INR,6023.51,348440314.47,4.91
SEC0000291,ETF,GBP,1016.29,10349541.4,10.39
SEC0000292,Corporate Bond,USD,6268.21,198968312.38,9.32
SEC0000293,Corporate Bond,GBP,8501.89,441269013.57,2.49
SEC0000294,ETF,GBP,3065.42,27485682.47,1.27
SEC0000295,Corporate Bond,INR,7057.06,72089641.29,1.53
SEC0000296,Equity,INR,2499.89,328456128.47,0.55
SEC0000297,Government Bond,INR,7537.12,329073026.67,7.94
SEC0000298,ETF,EUR,9417.37,418143840.95,7.0
SEC0000299,Corporate Bond,GBP,2785.25,295326638.01,7.78
SEC0000300,Government Bond,EUR,6692.89,286627194.07,0.5
SEC0000301,Corporate Bond,EUR,1134.79,255049266.64,4.34
SEC0000302,Government Bond,GBP,6802.96,111987869.93,9.04
SEC0000303,Corporate Bond,USD,6395.36,450315762.56,0.37
SEC0000304,Equity,GBP,3797.26,215495611.89,7.38
SEC0000305,Government Bond,EUR,5768.62,209315235.28,10.04
SEC0000306,Equity,USD,1181.02,418691344.33,7.18
SEC0000307,Equity,USD,4784.5,120045881.34,13.64
SEC0000308,Equity,EUR,2535.08,81612547.9,8.77
SEC0000309,Money Market,GBP,1563.64,253533738.59,6.02
SEC0000310,Equity,INR,2559.03,295098178.24,1.77
SEC0000311,Equity,GBP,3851.92,216568312.33,8.42
SEC0000312,ETF,EUR,4077.36,381509616.65,8.28
SEC0000313,Corporate Bond,EUR,4312.88,93465462.73,7.24
SEC0000314,ETF,USD,9730.53,493802991.75,12.64
SEC0000315,ETF,USD,8196.94,107911549.8,13.6
SEC0000316,Equity,EUR,9501.28,259837699.94,7.89
SEC0000317,ETF,EUR,827.39,21945686.52,4.24
SEC0000318,ETF,USD,8720.24,173857449.27,8.62
SEC0000319,ETF,GBP,5575.18,384016094.88,13.26
SEC0000320,Government Bond,USD,6200.2,257773757.91,6.58
SEC0000321,Money Market,USD,4789.39,49711019.96,5.14
SEC0000322,Equity,GBP,1793.2,258727921.34,1.6
SEC0000323,Government Bond,USD,1330.39,32327720.06,0.85
SEC0000324,ETF,USD,2908.09,466169574.81,5.95
SEC0000325,Money Market,GBP,8646.57,236238796.14,6.58
SEC0000326,Equity,GBP,2366.51,28783839.99,3.95
SEC0000327,Government Bond,USD,6490.66,463569577.32,10.15
SEC0000328,Government Bond,INR,9459.71,213630007.34,10.11
SEC0000329,Equity,INR,7722.9,108623265.25,5.61
SEC0000330,ETF,INR,5455.25,361683989.74,6.85
SEC0000331,ETF,USD,5622.76,447647197.27,13.71
SEC0000332,Money Market,USD,3618.13,154258589.66,4.68
SEC0000333,Corporate Bond,USD,3894.99,326418002.47,9.23
SEC0000334,Equity,INR,7967.79,393948333.66,10.9
SEC0000335,Equity,USD,4000.48,151262721.54,12.83
SEC0000336,Money Market,EUR,6912.05,622481.62,5.33
SEC0000337,Government Bond,GBP,4591.59,466550014.87,10.2
SEC0000338,Government Bond,INR,2355.19,126207960.23,14.39
SEC0000339,Corporate Bond,INR,8664.2,156799543.59,8.62
SEC0000340,Corporate Bond,USD,778.4,4723512.82,12.92
SEC0000341,Government Bond,EUR,7002.57,310232187.28,12.2
SEC0000342,ETF,USD,4841.73,377634512.88,5.58
SEC0000343,ETF,EUR,9044.73,58832488.35,3.91
SEC0000344,Equity,GBP,288.68,92437413.64,3.7
SEC0000345,ETF,INR,8192.1,364884129.86,3.14
SEC0000346,Money Market,USD,703.14,131995178.11,14.24
SEC0000347,Equity,GBP,6320.95,242588165.2,3.53
SEC0000348,Government Bond,INR,2909.62,295395453.77,10.86
SEC0000349,Money Market,INR,6477.84,273156136.53,1.24
SEC0000350,ETF,EUR,301.96,88202186.3,2.93
SEC0000351,Government Bond,GBP,2279.57,427903165.02,7.73
SEC0000352,Corporate Bond,GBP,2165.67,255991733.03,0.68
SEC0000353,ETF,INR,1710.75,430405424.75,10.34
SEC0000354,Corporate Bond,USD,2486.13,79168502.78,13.73
SEC0000355,ETF,INR,7198.36,121136122.31,0.49
SEC0000356,Corporate Bond,USD,6431.74,115873441.21,3.51
SEC0000357,ETF,USD,3648.72,246584930.96,6.2
SEC0000358,Equity,EUR,8198.52,188015367.32,14.47
SEC0000359,ETF,INR,8244.67,299974101.19,11.05
SEC0000360,Money Market,EUR,1624.69,413048808.53,0.34
SEC0000361,Equity,EUR,1989.47,3759476.81,2.23
SEC0000362,ETF,EUR,3863.52,115762264.85,14.57
SEC0000363,ETF,INR,6007.88,495414566.64,12.19
SEC0000364,Money Market,EUR,1816.57,236068276.26,5.71
SEC0000365,Equity,INR,378.28,224508811.17,13.68
SEC0000366,Money Market,EUR,2422.97,258879676.93,14.94
SEC0000367,Corporate Bond,GBP,9260.89,82317087.59,10.53
SEC0000368,Corporate Bond,USD,30.54,334490580.89,9.73
SEC0000369,Equity,EUR,4714.09,184259885.7,6.07
SEC0000370,Money Market,INR,8384.87,494458396.12,4.02
SEC0000371,Money Market,EUR,9540.6,264586699.1,9.78
SEC0000372,ETF,EUR,2618.07,336343840.51,10.87
SEC0000373,Corporate Bond,EUR,3498.28,484930095.91,11.47
SEC0000374,Corporate Bond,USD,9861.56,410774287.9,4.21
SEC0000375,ETF,EUR,2842.89,362860571.37,6.32
SEC0000376,Equity,EUR,3588.59,60485744.33,6.01
SEC0000377,Money Market,USD,8429.58,131304696.96,12.45
SEC0000378,Government Bond,GBP,8656.76,63455838.74,0.07
SEC0000379,ETF,GBP,7413.52,493838898.38,8.63
SEC0000380,Government Bond,USD,2974.57,293729732.1,7.66
SEC0000381,Government Bond,GBP,8868.82,31415185.47,6.15
SEC0000382,Equity,EUR,6515.74,70441568.61,1.83
SEC0000383,Money Market,GBP,5748.78,45618109.73,12.03
SEC0000384,Equity,USD,622.78,253480607.28,8.43
SEC0000385,Corporate Bond,EUR,7369.84,119056122.53,3.93
SEC0000386,ETF,INR,4024.22,68620124.87,4.1
SEC0000387,ETF,EUR,4991.22,251370589.43,7.78
SEC0000388,ETF,GBP,2523.9,81577155.58,5.03
SEC0000389,Corporate Bond,INR,9306.53,128263806.22,12.42
SEC0000390,ETF,GBP,8377.66,498085762.76,0.95
SEC0000391,Government Bond,INR,4051.73,177841198.41,8.19
SEC0000392,Corporate Bond,GBP,7372.82,225888715.59,14.96
SEC0000393,ETF,INR,2847.15,465121168.66,9.64
SEC0000394,ETF,INR,1414.8,406729931.34,11.7
SEC0000395,ETF,EUR,7435.63,81598931.8,4.43
SEC0000396,Corporate Bond,EUR,3628.24,61535827.08,12.94
SEC0000397,ETF,EUR,4609.67,169836725.64,2.85
SEC0000398,Corporate Bond,EUR,2246.13,327959102.48,13.49
SEC0000399,Money Market,EUR,7733.27,435182231.1,9.71
SEC0000400,Corporate Bond,EUR,5785.54,136636299.51,10.85
SEC0000401,Government Bond,GBP,7278.82,202114731.48,10.25
SEC0000402,Equity,EUR,3548.28,466077507.31,6.07
SEC0000403,Government Bond,GBP,6607.61,156674374.32,0.06
SEC0000404,Corporate Bond,USD,4415.65,234610954.32,11.58
SEC0000405,Government Bond,USD,3521.85,45667013.09,14.15
SEC0000406,Money Market,USD,4845.77,83625953.38,10.07
SEC0000407,Equity,INR,3915.75,414566082.13,7.47
SEC0000408,Government Bond,GBP,3440.69,53377480.8,3.03
SEC0000409,ETF,INR,2942.7,458512916.0,5.08
SEC0000410,Corporate Bond,GBP,2497.89,39684367.93,2.93
SEC0000411,Money Market,EUR,6953.16,219189533.02,9.35
SEC0000412,Money Market,EUR,9873.41,41554498.97,2.29
SEC0000413,Corporate Bond,USD,9446.64,320858852.26,1.36
SEC0000414,Equity,EUR,7790.4,7440008.93,10.25
SEC0000415,Government Bond,INR,5621.43,471757398.9,4.14
SEC0000416,Money Market,INR,7654.87,240951357.68,1.52
SEC0000417,Money Market,INR,9007.03,469591404.75,5.57
SEC0000418,Corporate Bond,USD,2888.72,134972252.88,11.04
SEC0000419,Corporate Bond,INR,7149.64,498796290.89,9.22
SEC0000420,ETF,USD,5567.85,474151375.21,8.16
SEC0000421,Equity,INR,2950.18,224631696.07,3.61
SEC0000422,Money Market,USD,9505.75,161371203.11,12.91
SEC0000423,Government Bond,EUR,5695.28,313037231.0,12.52
SEC0000424,ETF,INR,1545.5,340583262.3,10.42
SEC0000425,Money Market,GBP,7112.24,131966101.71,2.28
SEC0000426,Corporate Bond,GBP,5590.0,63643018.0,13.72
SEC0000427,Corporate Bond,GBP,1743.45,264693824.63,9.57
SEC0000428,Corporate Bond,INR,868.74,246604432.25,3.45
SEC0000429,Money Market,INR,9665.09,386918413.22,2.08
SEC0000430,Corporate Bond,EUR,8136.13,53382128.95,9.84
SEC0000431,Money Market,INR,7579.47,293690329.08,12.16
SEC0000432,Government Bond,USD,7370.09,435841464.25,4.68
SEC0000433,Government Bond,USD,5448.78,345836923.93,3.71
SEC0000434,Corporate Bond,GBP,3198.38,277554221.32,9.59
SEC0000435,Money Market,USD,4566.24,151794638.85,8.18
SEC0000436,Government Bond,INR,9781.81,284149089.12,1.91
SEC0000437,Money Market,INR,4348.36,112928371.9,1.1
SEC0000438,Corporate Bond,USD,2633.65,443350582.75,4.96
SEC0000439,Money Market,GBP,5708.0,99869974.79,12.67
SEC0000440,Corporate Bond,EUR,7257.91,80248234.51,13.63
SEC0000441,Equity,GBP,7332.23,383331629.13,6.02
SEC0000442,Corporate Bond,GBP,9748.41,135155019.61,1.29
SEC0000443,Government Bond,EUR,4975.2,495765591.57,4.88
SEC0000444,ETF,INR,6133.33,290813879.56,7.66
SEC0000445,Corporate Bond,GBP,8410.54,139512517.35,14.13
SEC0000446,Money Market,USD,2729.75,309520413.56,8.97
SEC0000447,Government Bond,GBP,5769.84,459882263.87,2.3
SEC0000448,Money Market,EUR,9545.85,97736308.72,0.27
SEC0000449,Corporate Bond,GBP,8639.26,23864351.87,3.47
SEC0000450,ETF,EUR,1057.36,414247892.7,4.4
SEC0000451,Government Bond,GBP,7018.91,58037105.46,9.26
SEC0000452,Equity,INR,8861.53,43363727.86,4.2
SEC0000453,ETF,USD,4665.34,103765864.35,2.19
SEC0000454,Equity,EUR,305.94,315380019.18,5.03
