customer_id,segment,country,risk_band,age
CUST000184,Retail,UAE,Very High,41
CUST000185,Retail,UAE,Very High,27
CUST000186,Private Banking,USA,High,66
CUST000187,Corporate,Singapore,Low,29
CUST000188,Corporate,UK,Medium,21
CUST000189,Retail,Singapore,Medium,65
CUST000190,Corporate,UAE,Medium,33
CUST000191,Retail,Singapore,High,63
CUST000192,SME,India,Medium,52
CUST000193,Corporate,UAE,Low,78
CUST000194,Retail,India,Very High,63
CUST000195,SME,Singapore,Medium,36
CUST000196,Retail,UK,Low,46
CUST000197,Private Banking,UK,Very High,64
CUST000198,Retail,UAE,Very High,38
CUST000199,Corporate,UAE,Low,57
CUST000200,SME,UK,Low,42
CUST000201,Corporate,USA,Medium,52
CUST000202,Private Banking,Singapore,Very High,58
CUST000203,SME,UK,Low,29
CUST000204,SME,UK,Low,69
CUST000205,Corporate,UAE,Very High,66
CUST000206,Corporate,UK,Medium,78
CUST000207,SME,UAE,Medium,58
CUST000208,SME,UAE,Low,68
CUST000209,SME,India,Medium,23
CUST000210,Retail,India,Low,51
CUST000211,Private Banking,USA,Low,33
CUST000212,Corporate,USA,Very High,69
CUST000213,Retail,India,Very High,72
CUST000214,Retail,UAE,High,62
CUST000215,Retail,Singapore,Medium,40
CUST000216,Retail,USA,High,62
CUST000217,Corporate,Singapore,High,65
CUST000218,Retail,UAE,Low,29
CUST000219,SME,Singapore,Very High,78
CUST000220,Private Banking,UK,Medium,32
CUST000221,Private Banking,Singapore,Medium,19
CUST000222,Corporate,UK,Medium,27
CUST000223,Retail,UAE,Medium,42
CUST000224,Corporate,UK,Very High,72
CUST000225,SME,Singapore,Low,62
CUST000226,SME,Singapore,High,36
CUST000227,Corporate,UAE,Low,37
CUST000228,Private Banking,USA,High,18
CUST000229,Corporate,UAE,Low,69
CUST000230,SME,India,High,57
CUST000231,Private Banking,USA,High,22
CUST000232,Corporate,Singapore,Very High,49
CUST000233,Corporate,USA,Medium,43
CUST000234,Private Banking,Singapore,Medium,78
CUST000235,Corporate,UAE,Medium,35
CUST000236,SME,UAE,Very High,48
CUST000237,Corporate,Singapore,Medium,76
CUST000238,Corporate,USA,Medium,19
CUST000239,Private Banking,India,Very High,40
CUST000240,Retail,Singapore,Medium,19
CUST000241,Corporate,USA,Medium,27
CUST000242,Corporate,India,Low,38
CUST000243,Private Banking,Singapore,Low,27
CUST000244,Corporate,UK,Very High,32
CUST000245,Private Banking,Singapore,Very High,60
CUST000246,SME,UAE,Medium,70
CUST000247,Corporate,Singapore,Low,45
CUST000248,Private Banking,India,High,60
CUST000249,Corporate,USA,Low,59
CUST000250,Corporate,India,Medium,31
CUST000251,Retail,Singapore,Low,20
CUST000252,Corporate,USA,Medium,63
CUST000253,SME,India,Low,29
CUST000254,SME,India,Medium,68
CUST000255,Retail,UK,High,50
CUST000256,Retail,UK,Medium,73
CUST000257,Private Banking,USA,Very High,52
CUST000258,Private Banking,UAE,High,75
CUST000259,Retail,India,Low,51
CUST000260,Corporate,UK,Low,42
CUST000261,Corporate,UK,Medium,71
CUST000262,Retail,India,Very High,29
CUST000263,Private Banking,UAE,Very High,33
CUST000264,Corporate,USA,High,67
CUST000265,Private Banking,UAE,High,78
CUST000266,Private Banking,UK,Low,56
CUST000267,Private Banking,Singapore,Medium,36
CUST000268,SME,India,Medium,63
CUST000269,Private Banking,Singapore,Medium,22
CUST000270,SME,Singapore,Low,37
CUST000271,Retail,India,High,28
CUST000272,Corporate,USA,Medium,68
CUST000273,Retail,UK,Very High,78
CUST000274,Retail,India,Very High,73
CUST000275,Private Banking,Singapore,Very High,55
CUST000276,Corporate,USA,Low,59
CUST000277,SME,USA,Medium,25
CUST000278,Retail,India,Medium,74
CUST000279,Private Banking,UAE,Very High,19
CUST000280,SME,India,Low,18
CUST000281,Corporate,Singapore,Medium,52
CUST000282,Corporate,Singapore,Very High,30
CUST000283,Retail,India,High,58
CUST000284,Retail,UK,Medium,35
CUST000285,SME,USA,Medium,53
CUST000286,Retail,UK,Medium,77
CUST000287,Private Banking,USA,Medium,60
CUST000288,Retail,India,Very High,43
CUST000289,Private Banking,Singapore,Very High,66
CUST000290,Private Banking,Singapore,Medium,29
CUST000291,SME,USA,Very High,61
CUST000292,SME,Singapore,Very High,44
CUST000293,Retail,USA,High,58
CUST000294,Retail,USA,Very High,29
CUST000295,Private Banking,UAE,Low,33
CUST000296,Private Banking,USA,High,79
CUST000297,Retail,India,Low,30
CUST000298,SME,USA,Medium,30
CUST000299,SME,USA,Medium,24
CUST000300,SME,UK,Medium,47
CUST000301,Retail,USA,Very High,38
CUST000302,Retail,UAE,Very High,49
CUST000303,Private Banking,India,Low,45
CUST000304,Corporate,USA,Medium,18
CUST000305,Retail,UK,Medium,67
CUST000306,Retail,USA,Medium,47
CUST000307,Private Banking,UAE,Low,47
CUST000308,Retail,UK,Very High,55
CUST000309,SME,USA,High,40
CUST000310,Private Banking,Singapore,Low,63
CUST000311,SME,UAE,Very High,41
CUST000312,Private Banking,USA,Very High,66
CUST000313,SME,USA,High,54
CUST000314,Retail,Singapore,High,46
CUST000315,SME,UK,Medium,39
CUST000316,Corporate,Singapore,High,60
CUST000317,Private Banking,India,Very High,65
CUST000318,Corporate,Singapore,Low,46
CUST000319,Corporate,UAE,Medium,66
CUST000320,Private Banking,UAE,High,22
CUST000321,Private Banking,USA,Very High,49
CUST000322,Retail,USA,Low,53
CUST000323,Private Banking,UK,Very High,34
CUST000324,Corporate,USA,High,43
CUST000325,Corporate,India,Medium,69
CUST000326,Corporate,India,Very High,47
CUST000327,SME,UK,Very High,51
CUST000328,Corporate,Singapore,Very High,64
CUST000329,Retail,UAE,High,67
CUST000330,Retail,UK,High,38
CUST000331,Retail,USA,Medium,60
CUST000332,Private Banking,India,High,79
CUST000333,SME,India,Low,28
CUST000334,Private Banking,Singapore,Very High,20
CUST000335,Private Banking,UAE,High,53
CUST000336,Retail,India,Medium,35
CUST000337,Corporate,UK,Low,67
CUST000338,SME,India,Medium,73
CUST000339,Retail,UK,Very High,37
CUST000340,SME,USA,Very High,34
CUST000341,Retail,USA,High,44
CUST000342,SME,India,Medium,77
CUST000343,Private Banking,UK,Low,21
CUST000344,Retail,Singapore,Low,61
CUST000345,Corporate,UAE,Very High,24
CUST000346,Corporate,Singapore,Low,76
CUST000347,Corporate,UAE,High,24
CUST000348,Corporate,USA,Medium,70
CUST000349,Private Banking,USA,High,45
CUST000350,Private Banking,USA,Low,50
CUST000351,Private Banking,India,Low,51
CUST000352,Private Banking,Singapore,Very High,74
CUST000353,Retail,India,Low,58
CUST000354,SME,UAE,High,74
CUST000355,Retail,India,Medium,35
CUST000356,Corporate,UK,High,26
CUST000357,Retail,UAE,Very High,35
CUST000358,Corporate,UAE,Very High,70
CUST000359,Corporate,Singapore,High,78
CUST000360,Retail,UAE,Medium,68
CUST000361,SME,India,High,76
CUST000362,Corporate,USA,Very High,73
CUST000363,Private Banking,Singapore,High,77
CUST000364,Private Banking,Singapore,Medium,78
CUST000365,SME,India,Low,39
CUST000366,SME,Singapore,High,46
CUST000367,Retail,UK,Very High,37
CUST000368,Private Banking,UAE,High,52
CUST000369,Corporate,UK,High,56
CUST000370,SME,USA,Very High,38
CUST000371,SME,India,Medium,52
CUST000372,SME,UK,Low,49
CUST000373,Retail,Singapore,High,39
CUST000374,Corporate,Singapore,Low,28
CUST000375,Retail,India,Medium,43
CUST000376,SME,Singapore,Low,77
CUST000377,Retail,UAE,Medium,77
CUST000378,SME,UAE,Very High,28
CUST000379,Private Banking,UK,Medium,57
CUST000380,Corporate,USA,High,63
CUST000381,Corporate,USA,High,28
CUST000382,SME,USA,High,28
CUST000383,Corporate,Singapore,High,24
CUST000384,Private Banking,India,High,49
CUST000385,Corporate,USA,Low,46
CUST000386,Retail,India,High,76
CUST000387,Retail,USA,Low,41
CUST000388,Corporate,USA,Low,34
CUST000389,Private Banking,UAE,High,35
CUST000390,Private Banking,Singapore,High,58
CUST000391,SME,UK,Medium,37
CUST000392,Private Banking,USA,High,25
CUST000393,Private Banking,India,High,55
CUST000394,Corporate,USA,Very High,30
CUST000395,Corporate,UK,Medium,20
CUST000396,Corporate,Singapore,Very High,50
CUST000397,Retail,Singapore,Medium,25
CUST000398,SME,UAE,Low,73
CUST000399,Retail,Singapore,Medium,70
CUST000400,SME,UAE,Low,50
CUST000401,Private Banking,USA,Medium,69
CUST000402,Retail,UK,Medium,48
CUST000403,Private Banking,Singapore,Low,36
CUST000404,Private Banking,Singapore,High,61
CUST000405,Retail,UK,Medium,25
CUST000406,Private Banking,UK,Very High,38
CUST000407,SME,UK,Medium,48
CUST000408,Retail,India,Low,40
CUST000409,Private Banking,UAE,Medium,36
CUST000410,Corporate,UAE,Very High,23
CUST000411,Private Banking,UAE,Very High,77
CUST000412,SME,USA,Very High,55
CUST000413,Retail,UK,Medium,31
CUST000414,Private Banking,Singapore,High,74
CUST000415,Private Banking,UAE,High,80
CUST000416,Corporate,India,Low,62
CUST000417,Retail,India,Low,52
CUST000418,Corporate,UAE,Medium,54
CUST000419,Retail,USA,Medium,71
CUST000420,Corporate,Singapore,Low,63
CUST000421,Retail,USA,Very High,60
CUST000422,Corporate,UK,Medium,59
CUST000423,Corporate,UAE,High,65
CUST000424,Corporate,USA,Very High,55
CUST000425,Corporate,UAE,Medium,53
CUST000426,Corporate,UAE,High,58
CUST000427,Corporate,USA,Medium,78
CUST000428,Retail,USA,Low,29
CUST000429,SME,India,Very High,65
CUST000430,Private Banking,USA,Low,70
CUST000431,SME,UK,Medium,58
CUST000432,Private Banking,India,Very High,18
CUST000433,Corporate,USA,High,76
CUST000434,Corporate,UK,Low,68
CUST000435,Corporate,Singapore,Very High,49
CUST000436,SME,USA,Very High,80
CUST000437,Retail,India,Medium,64
CUST000438,SME,India,Medium,51
CUST000439,Corporate,UAE,Low,67
CUST000440,Retail,USA,Medium,57
CUST000441,Private Banking,USA,Low,35
CUST000442,Corporate,USA,Low,74
CUST000443,Retail,USA,Medium,71
CUST000444,Retail,UAE,Very High,54
CUST000445,Retail,UK,High,27
CUST000446,Private Banking,UAE,Medium,32
CUST000447,Corporate,India,High,65
CUST000448,Retail,UAE,Low,67
CUST000449,Corporate,Singapore,Medium,61
CUST000450,Private Banking,India,Low,25
CUST000451,SME,USA,Low,18
CUST000452,SME,USA,Medium,72
CUST000453,Private Banking,UK,Medium,59
CUST000454,Corporate,UK,Low,33
CUST000455,Private Banking,India,Low,62
CUST000456,Corporate,USA,Low,72
CUST000457,Retail,India,High,38
CUST000458,Retail,Singapore,High,31
CUST000459,Private Banking,Singapore,Very High,22
CUST000460,Corporate,USA,Very High,31
CUST000461,Private Banking,UAE,Medium,76
CUST000462,Private Banking,India,Medium,62
CUST000463,Corporate,USA,Very High,54
CUST000464,SME,Singapore,High,33
CUST000465,Retail,India,High,52
CUST000466,Corporate,UAE,Low,41
CUST000467,Corporate,UAE,Medium,23
CUST000468,Corporate,UAE,Very High,33
CUST000469,Private Banking,USA,Medium,40
CUST000470,Corporate,India,Low,42
CUST000471,Corporate,Singapore,Very High,79
CUST000472,Retail,Singapore,Medium,48
CUST000473,Private Banking,Singapore,Very High,19
CUST000474,SME,USA,Very High,67
CUST000475,Private Banking,UAE,Low,39
CUST000476,SME,UK,Medium,51
CUST000477,Retail,UAE,High,34
CUST000478,Retail,UAE,Low,20
CUST000479,Retail,USA,Very High,79
CUST000480,Corporate,Singapore,High,52
CUST000481,Corporate,UAE,High,20
CUST000482,Corporate,India,Low,30
CUST000483,Retail,Singapore,Very High,80
CUST000484,SME,India,High,27
CUST000485,Private Banking,UAE,Medium,45
CUST000486,SME,USA,Low,34
CUST000487,Corporate,UK,Very High,25
CUST000488,SME,USA,High,68
CUST000489,SME,India,Very High,54
CUST000490,Retail,UAE,Very High,43
CUST000491,Corporate,USA,Low,54
CUST000492,SME,Singapore,High,78
CUST000493,Private Banking,UK,High,66
CUST000494,Corporate,India,Medium,71
CUST000495,Corporate,USA,Very High,26
CUST000496,Private Banking,India,Very High,35
CUST000497,SME,India,Very High,69
CUST000498,Retail,India,Very High,71
CUST000499,Corporate,India,Medium,37
CUST000500,SME,USA,Low,50
CUST000501,Private Banking,Singapore,Very High,46
CUST000502,Corporate,USA,Medium,64
CUST000503,SME,Singapore,Very High,36
CUST000504,Private Banking,UAE,Low,71
CUST000505,Corporate,India,Medium,63
CUST000506,Retail,USA,Low,57
CUST000507,Retail,UK,Medium,50
CUST000508,Private Banking,India,Medium,52
CUST000509,SME,UAE,Medium,40
CUST000510,Corporate,Singapore,Low,77
CUST000511,Corporate,India,Medium,73
CUST000512,SME,India,Low,64
CUST000513,Corporate,UAE,Very High,26
CUST000514,Retail,UK,High,22
CUST000515,Retail,India,Very High,62
CUST000516,Corporate,India,Medium,28
CUST000517,Corporate,UK,Medium,71
CUST000518,Retail,India,Very High,63
CUST000519,Corporate,India,Medium,27
CUST000520,Corporate,USA,Very High,19
CUST000521,Private Banking,Singapore,Very High,80
CUST000522,Corporate,USA,Very High,31
CUST000523,SME,Singapore,High,23
CUST000524,Private Banking,UK,Medium,29
CUST000525,Corporate,India,High,71
CUST000526,SME,Singapore,Very High,24
CUST000527,Retail,USA,Low,20
CUST000528,SME,UK,Very High,51
CUST000529,Private Banking,India,Very High,31
CUST000530,Retail,UAE,Low,27
CUST000531,Private Banking,UAE,Medium,21
CUST000532,SME,India,Low,56
CUST000533,Corporate,Singapore,Very High,75
CUST000534,Private Banking,Singapore,Low,54
CUST000535,Corporate,Singapore,Very High,79
CUST000536,Retail,India,High,47
CUST000537,Private Banking,USA,High,19
CUST000538,Retail,India,Very High,33
CUST000539,SME,UK,Low,19
CUST000540,Private Banking,Singapore,Very High,23
CUST000541,SME,India,Very High,28
CUST000542,SME,India,Low,31
CUST000543,Private Banking,USA,Low,65
CUST000544,Private Banking,India,Very High,49
CUST000545,SME,Singapore,Low,19
CUST000546,Corporate,UK,High,65
CUST000547,Private Banking,India,Very High,25
CUST000548,SME,USA,Low,48
CUST000549,Retail,UAE,High,37
CUST000550,SME,UAE,Low,80
CUST000551,SME,Singapore,High,36
CUST000552,SME,Singapore,High,27
CUST000553,Retail,UAE,Low,27
CUST000554,Corporate,Singapore,Medium,76
CUST000555,Corporate,India,Medium,79
CUST000556,Retail,USA,High,37
CUST000557,Private Banking,UAE,Medium,42
CUST000558,Retail,Singapore,Medium,44
CUST000559,Corporate,UK,Low,32
CUST000560,SME,UAE,Very High,23
CUST000561,Private Banking,USA,High,64
CUST000562,Retail,Singapore,High,78
CUST000563,Corporate,UK,High,25
CUST000564,Private Banking,India,Medium,24
CUST000565,Retail,USA,Low,38
CUST000566,Retail,Singapore,Very High,52
CUST000567,Private Banking,UK,Very High,34
CUST000568,Private Banking,USA,Very High,68
CUST000569,Private Banking,Singapore,Medium,47
CUST000570,Private Banking,India,Low,50
CUST000571,Corporate,UK,Very High,34
CUST000572,Retail,USA,Medium,46
CUST000573,Retail,USA,Low,54
CUST000574,Retail,UAE,High,57
CUST000575,SME,India,Very High,37
CUST000576,Retail,India,Very High,54
CUST000577,SME,UAE,Medium,71
CUST000578,SME,UK,Medium,35
CUST000579,Corporate,USA,Very High,35
CUST000580,Private Banking,India,Medium,25
CUST000581,SME,USA,Very High,38
CUST000582,Corporate,UAE,Medium,27
CUST000583,Retail,Singapore,Low,28
CUST000584,SME,UAE,Medium,73
CUST000585,Retail,UK,High,18
CUST000586,SME,Singapore,Low,21
CUST000587,Retail,India,Very High,33
CUST000588,Corporate,UAE,Very High,33
CUST000589,Retail,USA,Low,18
CUST000590,Retail,India,High,25
CUST000591,Private Banking,India,Low,55
CUST000592,Retail,UAE,Medium,70
CUST000593,SME,Singapore,Very High,30
CUST000594,Private Banking,USA,Very High,65
CUST000595,Retail,UAE,Low,52
CUST000596,Corporate,UK,Low,78
CUST000597,Private Banking,UAE,High,42
CUST000598,SME,India,Low,19
CUST000599,Corporate,Singapore,Medium,45
CUST000600,Retail,India,Medium,78
CUST000601,Private Banking,India,Low,51
CUST000602,Retail,UK,Low,60
CUST000603,Corporate,UK,High,50
CUST000604,SME,USA,High,27
CUST000605,Retail,Singapore,High,69
CUST000606,Retail,India,High,31
CUST000607,Corporate,Singapore,High,44
CUST000608,Private Banking,India,Very High,38
CUST000609,Private Banking,USA,High,36
CUST000610,Corporate,UAE,Very High,46
CUST000611,SME,India,Low,21
CUST000612,SME,UK,Low,69
CUST000613,SME,USA,Low,62
CUST000614,SME,Singapore,Medium,50
CUST000615,Private Banking,USA,High,79
CUST000616,Retail,Singapore,Very High,27
CUST000617,Retail,USA,High,50
CUST000618,Retail,UAE,High,62
CUST000619,Corporate,Singapore,Very High,32
CUST000620,Corporate,Singapore,Very High,37
CUST000621,SME,Singapore,High,47
CUST000622,Retail,India,High,23
CUST000623,SME,USA,Low,67
CUST000624,SME,USA,High,24
CUST000625,Retail,UAE,Low,58
CUST000626,SME,UK,High,54
CUST000627,Retail,UK,Very High,25
CUST000628,Retail,India,Very High,56
CUST000629,SME,Singapore,Low,34
CUST000630,Private Banking,UAE,Low,21
CUST000631,Retail,Singapore,Medium,51
CUST000632,SME,UAE,Low,19
CUST000633,Retail,Singapore,Medium,80
CUST000634,SME,USA,Very High,22
CUST000635,Corporate,India,Medium,19
CUST000636,Corporate,USA,High,18
CUST000637,Private Banking,UAE,Very High,66
CUST000638,Corporate,Singapore,High,37
CUST000639,Private Banking,India,High,59
CUST000640,SME,Singapore,Very High,44
CUST000641,SME,UK,Very High,70
CUST000642,Retail,India,Low,39
CUST000643,SME,India,High,49
CUST000644,SME,UK,Very High,72
CUST000645,SME,UK,Medium,40
CUST000646,Private Banking,India,Very High,44
CUST000647,SME,Singapore,High,66
CUST000648,Retail,Singapore,Very High,60
CUST000649,SME,UAE,Very High,18
CUST000650,Private Banking,UAE,Very High,77
CUST000651,Corporate,UAE,Medium,72
CUST000652,SME,UK,Low,79
CUST000653,Private Banking,UAE,Very High,50
CUST000654,Corporate,USA,High,48
CUST000655,Private Banking,India,Medium,55
CUST000656,Retail,Singapore,High,18
CUST000657,Retail,UAE,Low,69
CUST000658,Corporate,USA,Very High,37
CUST000659,SME,Singapore,Medium,38
CUST000660,Corporate,Singapore,High,21
CUST000661,Corporate,UAE,Very High,53
CUST000662,SME,India,Medium,23
CUST000663,Corporate,UAE,High,56
CUST000664,Corporate,Singapore,High,34
CUST000665,SME,India,Very High,60
CUST000666,Corporate,UK,Low,67
CUST000667,Retail,India,Very High,67
CUST000668,SME,USA,Low,51
CUST000669,SME,UAE,Medium,18
CUST000670,Private Banking,Singapore,High,32
CUST000671,Corporate,USA,High,50
CUST000672,SME,India,High,55
CUST000673,Private Banking,USA,Low,43
CUST000674,Private Banking,UK,Low,40
CUST000675,Retail,India,Low,29
CUST000676,Retail,Singapore,High,37
CUST000677,SME,UK,Low,69
CUST000678,SME,Singapore,Low,25
CUST000679,Private Banking,India,High,57
CUST000680,Private Banking,India,Medium,49
CUST000681,SME,India,Very High,21
CUST000682,Retail,Singapore,Medium,21
CUST000683,SME,India,Very High,53
CUST000684,Retail,India,Low,69
CUST000685,Corporate,India,Low,31
CUST000686,Corporate,UAE,Low,33
CUST000687,Retail,UAE,Low,55
CUST000688,Private Banking,USA,Very High,20
CUST000689,Retail,UAE,Medium,66
CUST000690,Corporate,USA,Low,64
CUST000691,Corporate,India,High,72
CUST000692,Private Banking,USA,High,73
CUST000693,Corporate,India,Low,22
CUST000694,SME,UAE,High,32
CUST000695,Corporate,USA,Medium,63
CUST000696,Retail,India,Very High,77
CUST000697,SME,USA,Very High,51
CUST000698,Retail,UAE,Medium,67
CUST000699,Private Banking,USA,Low,63
CUST000700,SME,UAE,Low,78
CUST000701,Private Banking,India,Very High,19
CUST000702,Retail,USA,Very High,80
CUST000703,SME,Singapore,Medium,61
CUST000704,Private Banking,UK,Very High,49
CUST000705,Retail,USA,Medium,49
CUST000706,Corporate,Singapore,Low,46
CUST000707,Private Banking,USA,Low,75
CUST000708,Retail,Singapore,High,53
CUST000709,Retail,USA,High,68
CUST000710,Corporate,UAE,Low,18
CUST000711,SME,UK,High,30
CUST000712,SME,Singapore,Very High,79
CUST000713,SME,Singapore,Low,43
CUST000714,Retail,UAE,Very High,53
CUST000715,Corporate,UAE,High,43
CUST000716,Private Banking,India,Very High,69
CUST000717,Private Banking,UK,Low,45
CUST000718,Retail,Singapore,High,62
CUST000719,SME,India,High,21
CUST000720,Retail,UAE,High,70
CUST000721,SME,UAE,Low,18
CUST000722,Private Banking,India,Medium,30
CUST000723,Corporate,India,High,75
CUST000724,SME,UK,Medium,62
CUST000725,Retail,USA,Medium,54
CUST000726,SME,UK,High,50
CUST000727,Retail,Singapore,Low,18
CUST000728,Corporate,India,Very High,56
