user_id,role,department
USER00124,CreditOfficer,aml
USER00125,Auditor,aml
USER00126,CreditOfficer,risk
USER00127,Auditor,risk
USER00128,CreditOfficer,treasury
USER00129,RiskOfficer,credit
USER00130,CreditOfficer,treasury
USER00131,RiskOfficer,aml
USER00132,Analyst,kyc
USER00133,TreasuryOfficer,risk
USER00134,CreditOfficer,operations
USER00135,Analyst,investments
USER00136,ComplianceOfficer,operations
USER00137,ComplianceOfficer,investments
USER00138,RiskOfficer,operations
USER00139,Analyst,compliance
USER00140,RiskOfficer,investments
USER00141,TreasuryOfficer,operations
USER00142,Analyst,investments
USER00143,CreditOfficer,credit
USER00144,CreditOfficer,investments
USER00145,CreditOfficer,investments
USER00146,Auditor,investments
USER00147,Analyst,compliance
USER00148,CreditOfficer,compliance
USER00149,CreditOfficer,aml
USER00150,ComplianceOfficer,operations
USER00151,TreasuryOfficer,treasury
USER00152,TreasuryOfficer,kyc
USER00153,Analyst,risk
USER00154,ComplianceOfficer,compliance
USER00155,CreditOfficer,credit
USER00156,Auditor,investments
USER00157,TreasuryOfficer,investments
USER00158,ComplianceOfficer,kyc
USER00159,TreasuryOfficer,investments
USER00160,Analyst,compliance
USER00161,Auditor,aml
USER00162,Auditor,kyc
USER00163,TreasuryOfficer,aml
USER00164,ComplianceOfficer,operations
USER00165,TreasuryOfficer,aml
USER00166,ComplianceOfficer,aml
USER00167,ComplianceOfficer,compliance
USER00168,RiskOfficer,investments
USER00169,Auditor,operations
USER00170,RiskOfficer,treasury
USER00171,Auditor,operations
USER00172,CreditOfficer,kyc
USER00173,RiskOfficer,risk
USER00174,ComplianceOfficer,kyc
USER00175,ComplianceOfficer,investments
USER00176,ComplianceOfficer,risk
USER00177,ComplianceOfficer,risk
USER00178,Analyst,risk
USER00179,Analyst,kyc
USER00180,Analyst,risk
USER00181,RiskOfficer,aml
USER00182,TreasuryOfficer,investments
USER00183,Auditor,treasury
USER00184,Auditor,credit
USER00185,ComplianceOfficer,risk
USER00186,Auditor,risk
USER00187,TreasuryOfficer,kyc
USER00188,TreasuryOfficer,investments
USER00189,Auditor,credit
USER00190,Analyst,risk
USER00191,TreasuryOfficer,treasury
USER00192,TreasuryOfficer,operations
USER00193,Auditor,investments
USER00194,TreasuryOfficer,investments
USER00195,Auditor,aml
USER00196,Analyst,treasury
USER00197,Analyst,compliance
USER00198,ComplianceOfficer,risk
USER00199,ComplianceOfficer,treasury
USER00200,Auditor,investments
USER00201,ComplianceOfficer,kyc
USER00202,Auditor,compliance
USER00203,RiskOfficer,kyc
USER00204,ComplianceOfficer,operations
USER00205,Auditor,kyc
USER00206,Analyst,credit
USER00207,Auditor,investments
USER00208,RiskOfficer,treasury
USER00209,TreasuryOfficer,operations
USER00210,TreasuryOfficer,compliance
USER00211,Analyst,kyc
USER00212,ComplianceOfficer,treasury
USER00213,Auditor,treasury
USER00214,TreasuryOfficer,treasury
USER00215,RiskOfficer,risk
USER00216,Auditor,compliance
USER00217,TreasuryOfficer,operations
USER00218,Auditor,kyc
USER00219,CreditOfficer,treasury
USER00220,Auditor,risk
USER00221,TreasuryOfficer,kyc
USER00222,Analyst,investments
USER00223,Analyst,operations
USER00224,TreasuryOfficer,risk
USER00225,RiskOfficer,kyc
USER00226,Analyst,credit
USER00227,RiskOfficer,aml
USER00228,CreditOfficer,aml
USER00229,ComplianceOfficer,compliance
USER00230,CreditOfficer,kyc
USER00231,ComplianceOfficer,aml
USER00232,TreasuryOfficer,risk
USER00233,ComplianceOfficer,compliance
USER00234,Auditor,risk
USER00235,ComplianceOfficer,operations
USER00236,Analyst,compliance
USER00237,ComplianceOfficer,risk
USER00238,CreditOfficer,aml
USER00239,CreditOfficer,operations
USER00240,Analyst,kyc
USER00241,TreasuryOfficer,compliance
USER00242,TreasuryOfficer,kyc
USER00243,RiskOfficer,risk
USER00244,Auditor,investments
USER00245,Auditor,compliance
USER00246,ComplianceOfficer,compliance
USER00247,TreasuryOfficer,risk
USER00248,Auditor,credit
USER00249,CreditOfficer,operations
USER00250,Auditor,risk
USER00251,ComplianceOfficer,kyc
USER00252,TreasuryOfficer,operations
USER00253,Auditor,kyc
USER00254,TreasuryOfficer,aml
USER00255,CreditOfficer,risk
USER00256,TreasuryOfficer,credit
USER00257,CreditOfficer,kyc
USER00258,RiskOfficer,credit
USER00259,RiskOfficer,investments
USER00260,ComplianceOfficer,kyc
USER00261,TreasuryOfficer,operations
USER00262,Analyst,credit
USER00263,Auditor,investments
USER00264,RiskOfficer,kyc
USER00265,RiskOfficer,aml
USER00266,Analyst,kyc
USER00267,Analyst,treasury
USER00268,Analyst,investments
USER00269,Analyst,investments
USER00270,Auditor,aml
USER00271,Analyst,risk
USER00272,RiskOfficer,credit
USER00273,Auditor,operations
USER00274,RiskOfficer,credit
USER00275,Auditor,treasury
USER00276,TreasuryOfficer,credit
USER00277,ComplianceOfficer,compliance
USER00278,CreditOfficer,aml
USER00279,ComplianceOfficer,operations
USER00280,CreditOfficer,investments
USER00281,Analyst,compliance
USER00282,Analyst,risk
USER00283,TreasuryOfficer,treasury
USER00284,ComplianceOfficer,investments
USER00285,RiskOfficer,kyc
USER00286,CreditOfficer,compliance
USER00287,Analyst,kyc
USER00288,CreditOfficer,treasury
USER00289,Auditor,operations
USER00290,Auditor,aml
USER00291,Auditor,operations
USER00292,CreditOfficer,credit
USER00293,Analyst,kyc
USER00294,TreasuryOfficer,risk
USER00295,ComplianceOfficer,kyc
USER00296,Auditor,aml
USER00297,Auditor,investments
USER00298,CreditOfficer,aml
USER00299,Auditor,investments
USER00300,Auditor,credit
USER00301,TreasuryOfficer,credit
USER00302,ComplianceOfficer,kyc
USER00303,ComplianceOfficer,operations
USER00304,CreditOfficer,treasury
USER00305,Auditor,investments
USER00306,ComplianceOfficer,treasury
USER00307,Auditor,risk
USER00308,Analyst,treasury
USER00309,ComplianceOfficer,aml
USER00310,CreditOfficer,risk
USER00311,CreditOfficer,risk
USER00312,RiskOfficer,kyc
USER00313,RiskOfficer,investments
USER00314,Auditor,kyc
USER00315,TreasuryOfficer,operations
USER00316,Auditor,operations
USER00317,RiskOfficer,compliance
USER00318,Auditor,credit
USER00319,CreditOfficer,compliance
USER00320,RiskOfficer,risk
USER00321,Analyst,kyc
USER00322,TreasuryOfficer,compliance
USER00323,RiskOfficer,operations
USER00324,ComplianceOfficer,kyc
USER00325,TreasuryOfficer,operations
USER00326,Analyst,kyc
USER00327,Auditor,operations
USER00328,TreasuryOfficer,aml
USER00329,RiskOfficer,kyc
USER00330,ComplianceOfficer,kyc
USER00331,Analyst,risk
USER00332,RiskOfficer,investments
USER00333,TreasuryOfficer,credit
USER00334,Auditor,risk
USER00335,CreditOfficer,treasury
USER00336,Analyst,credit
USER00337,ComplianceOfficer,investments
USER00338,TreasuryOfficer,investments
USER00339,ComplianceOfficer,compliance
USER00340,Auditor,kyc
USER00341,Analyst,credit
USER00342,RiskOfficer,kyc
USER00343,TreasuryOfficer,credit
USER00344,TreasuryOfficer,aml
USER00345,CreditOfficer,operations
USER00346,ComplianceOfficer,operations
USER00347,ComplianceOfficer,aml
USER00348,TreasuryOfficer,risk
USER00349,CreditOfficer,aml
USER00350,Auditor,investments
USER00351,Analyst,credit
USER00352,ComplianceOfficer,operations
USER00353,CreditOfficer,investments
USER00354,RiskOfficer,treasury
USER00355,RiskOfficer,investments
USER00356,ComplianceOfficer,aml
USER00357,Auditor,treasury
USER00358,ComplianceOfficer,aml
USER00359,ComplianceOfficer,aml
USER00360,CreditOfficer,aml
USER00361,ComplianceOfficer,compliance
USER00362,RiskOfficer,risk
USER00363,Auditor,treasury
USER00364,RiskOfficer,credit
USER00365,Analyst,kyc
USER00366,CreditOfficer,kyc
USER00367,Auditor,compliance
USER00368,RiskOfficer,operations
USER00369,TreasuryOfficer,kyc
USER00370,Auditor,risk
USER00371,CreditOfficer,aml
USER00372,Analyst,compliance
USER00373,ComplianceOfficer,operations
USER00374,TreasuryOfficer,operations
USER00375,Analyst,compliance
USER00376,CreditOfficer,credit
USER00377,TreasuryOfficer,operations
USER00378,ComplianceOfficer,credit
USER00379,Auditor,operations
USER00380,ComplianceOfficer,compliance
USER00381,Auditor,treasury
USER00382,RiskOfficer,aml
USER00383,TreasuryOfficer,treasury
USER00384,CreditOfficer,operations
USER00385,CreditOfficer,risk
USER00386,TreasuryOfficer,aml
USER00387,ComplianceOfficer,operations
USER00388,ComplianceOfficer,investments
USER00389,Analyst,treasury
USER00390,TreasuryOfficer,operations
USER00391,Analyst,treasury
USER00392,TreasuryOfficer,credit
USER00393,Analyst,operations
USER00394,Auditor,operations
USER00395,RiskOfficer,operations
USER00396,ComplianceOfficer,compliance
USER00397,RiskOfficer,investments
USER00398,Analyst,operations
USER00399,Auditor,risk
USER00400,Auditor,investments
USER00401,CreditOfficer,credit
USER00402,Analyst,risk
USER00403,Analyst,kyc
USER00404,RiskOfficer,credit
USER00405,TreasuryOfficer,compliance
USER00406,ComplianceOfficer,treasury
USER00407,CreditOfficer,compliance
USER00408,TreasuryOfficer,aml
USER00409,Analyst,credit
USER00410,TreasuryOfficer,risk
USER00411,Auditor,aml
USER00412,ComplianceOfficer,kyc
USER00413,CreditOfficer,kyc
USER00414,TreasuryOfficer,treasury
USER00415,Analyst,treasury
USER00416,Auditor,compliance
USER00417,Auditor,aml
USER00418,Auditor,credit
USER00419,ComplianceOfficer,investments
USER00420,Auditor,compliance
USER00421,Auditor,kyc
USER00422,ComplianceOfficer,operations
USER00423,TreasuryOfficer,aml
USER00424,Auditor,kyc
USER00425,Analyst,credit
USER00426,Analyst,risk
USER00427,TreasuryOfficer,compliance
USER00428,CreditOfficer,treasury
USER00429,Analyst,treasury
USER00430,Auditor,operations
USER00431,ComplianceOfficer,treasury
USER00432,CreditOfficer,aml
USER00433,RiskOfficer,operations
USER00434,TreasuryOfficer,compliance
USER00435,Auditor,operations
USER00436,TreasuryOfficer,kyc
USER00437,RiskOfficer,treasury
USER00438,TreasuryOfficer,credit
USER00439,TreasuryOfficer,credit
USER00440,ComplianceOfficer,compliance
USER00441,Auditor,credit
USER00442,CreditOfficer,credit
USER00443,Analyst,treasury
USER00444,ComplianceOfficer,kyc
USER00445,RiskOfficer,aml
USER00446,RiskOfficer,operations
USER00447,Analyst,kyc
USER00448,Auditor,risk
USER00449,CreditOfficer,kyc
USER00450,CreditOfficer,credit
USER00451,RiskOfficer,treasury
USER00452,RiskOfficer,compliance
USER00453,Analyst,kyc
USER00454,ComplianceOfficer,aml
USER00455,Auditor,operations
USER00456,ComplianceOfficer,credit
USER00457,RiskOfficer,risk
USER00458,Auditor,operations
USER00459,RiskOfficer,kyc
USER00460,ComplianceOfficer,risk
USER00461,RiskOfficer,credit
USER00462,CreditOfficer,aml
USER00463,ComplianceOfficer,investments
USER00464,RiskOfficer,treasury
USER00465,TreasuryOfficer,operations
USER00466,ComplianceOfficer,treasury
USER00467,CreditOfficer,treasury
USER00468,ComplianceOfficer,compliance
USER00469,CreditOfficer,operations
USER00470,Analyst,investments
USER00471,ComplianceOfficer,kyc
USER00472,RiskOfficer,credit
USER00473,Analyst,investments
USER00474,ComplianceOfficer,risk
USER00475,Analyst,treasury
USER00476,ComplianceOfficer,kyc
USER00477,Analyst,aml
USER00478,Analyst,aml
USER00479,Analyst,investments
USER00480,TreasuryOfficer,aml
USER00481,CreditOfficer,treasury
USER00482,TreasuryOfficer,risk
USER00483,Auditor,treasury
USER00484,CreditOfficer,operations
USER00485,TreasuryOfficer,investments
USER00486,TreasuryOfficer,kyc
USER00487,ComplianceOfficer,risk
USER00488,Analyst,treasury
USER00489,Auditor,investments
USER00490,Analyst,operations
USER00491,CreditOfficer,aml
USER00492,RiskOfficer,operations
USER00493,ComplianceOfficer,compliance
USER00494,Analyst,kyc
USER00495,Analyst,investments
USER00496,ComplianceOfficer,operations
USER00497,TreasuryOfficer,compliance
USER00498,Auditor,kyc
USER00499,CreditOfficer,credit
USER00500,Auditor,risk
