transaction_id,account_id,date,direction,currency,amount,channel,monitoring_status
TXN00000091,ACC0001271,2026-01-29,CREDIT,AED,591377.97,Branch,Alert
TXN00000092,ACC0001347,2026-05-01,DEBIT,GBP,1580645.29,ATM,Review
TXN00000093,ACC0001468,2026-06-24,CREDIT,USD,1327542.4,Branch,Review
TXN00000094,ACC0001033,2026-08-18,DEBIT,GBP,1165015.34,Online,Alert
TXN00000095,ACC0001693,2026-06-02,DEBIT,AED,227967.35,CrossBorder,Alert
TXN00000096,ACC0001313,2026-04-16,DEBIT,GBP,1942100.64,ATM,Alert
TXN00000097,ACC0001709,2026-08-17,CREDIT,EUR,990962.36,Branch,Alert
TXN00000098,ACC0001489,2026-03-30,CREDIT,INR,1247471.31,Branch,Review
TXN00000099,ACC0000227,2026-08-01,CREDIT,EUR,595027.35,Online,Review
TXN00000100,ACC0000330,2026-05-29,CREDIT,INR,1084784.06,ATM,Review
TXN00000101,ACC0000089,2026-07-07,CREDIT,GBP,894392.31,Domestic,Alert
TXN00000102,ACC0000363,2026-02-20,CREDIT,AED,1571675.09,Domestic,Review
TXN00000103,ACC0001330,2026-02-06,DEBIT,AED,1711844.15,CrossBorder,Alert
TXN00000104,ACC0001357,2026-05-13,DEBIT,GBP,1830280.74,CrossBorder,Review
TXN00000105,ACC0001993,2026-01-31,CREDIT,GBP,722207.52,Branch,Normal
TXN00000106,ACC0002000,2026-02-14,DEBIT,INR,322401.03,Online,Review
TXN00000107,ACC0001540,2026-08-22,DEBIT,EUR,1859461.28,Online,Alert
TXN00000108,ACC0001524,2026-02-28,DEBIT,GBP,248317.73,Branch,Normal
TXN00000109,ACC0001605,2026-07-18,DEBIT,INR,606159.4,Domestic,Alert
TXN00000110,ACC0000336,2026-02-19,DEBIT,INR,1311840.24,CrossBorder,Review
TXN00000111,ACC0000047,2026-04-07,CREDIT,INR,1465460.28,CrossBorder,Normal
TXN00000112,ACC0001901,2026-08-26,CREDIT,GBP,1028788.71,CrossBorder,Alert
TXN00000113,ACC0001290,2026-06-18,DEBIT,AED,1321399.46,Domestic,Alert
TXN00000114,ACC0001626,2026-08-08,DEBIT,USD,1404313.32,ATM,Normal
TXN00000115,ACC0000542,2026-01-09,DEBIT,GBP,1012874.21,Online,Normal
TXN00000116,ACC0000478,2026-07-30,DEBIT,AED,126841.24,Branch,Alert
TXN00000117,ACC0001280,2026-05-12,DEBIT,GBP,313163.07,CrossBorder,Alert
TXN00000118,ACC0000320,2026-06-06,DEBIT,EUR,1573428.52,CrossBorder,Review
TXN00000119,ACC0001292,2026-05-30,DEBIT,GBP,1120628.72,ATM,Review
TXN00000120,ACC0001725,2026-03-14,CREDIT,USD,1683026.88,ATM,Review
TXN00000121,ACC0001493,2026-05-09,DEBIT,USD,1680261.66,Branch,Normal
TXN00000122,ACC0000381,2026-06-03,DEBIT,EUR,476669.22,ATM,Alert
TXN00000123,ACC0001772,2026-06-25,CREDIT,EUR,57250.42,Online,Alert
TXN00000124,ACC0000442,2026-02-07,CREDIT,INR,7102.48,Domestic,Review
TXN00000125,ACC0000176,2026-06-05,DEBIT,GBP,1750603.17,Online,Review
TXN00000126,ACC0000387,2026-02-03,DEBIT,INR,785999.2,Online,Normal
TXN00000127,ACC0000145,2026-08-13,DEBIT,EUR,1270631.35,Online,Review
TXN00000128,ACC0001631,2026-05-23,DEBIT,USD,993669.46,Online,Normal
TXN00000129,ACC0000485,2026-06-14,CREDIT,USD,827666.53,CrossBorder,Alert
TXN00000130,ACC0000876,2026-06-20,CREDIT,USD,771989.82,Branch,Review
TXN00000131,ACC0001696,2026-01-30,DEBIT,GBP,1869907.61,ATM,Normal
TXN00000132,ACC0000684,2026-02-27,CREDIT,AED,1253629.37,Online,Review
TXN00000133,ACC0001119,2026-03-25,CREDIT,USD,1013699.39,Online,Review
TXN00000134,ACC0001503,2026-02-01,DEBIT,USD,924308.43,Online,Normal
TXN00000135,ACC0000022,2026-03-04,DEBIT,INR,156.82,ATM,Alert
TXN00000136,ACC0001930,2026-07-23,CREDIT,AED,901964.64,CrossBorder,Review
TXN00000137,ACC0000182,2026-05-03,CREDIT,AED,1176540.76,Branch,Review
TXN00000138,ACC0000529,2026-03-28,CREDIT,INR,1207668.14,Domestic,Review
TXN00000139,ACC0000548,2026-06-19,DEBIT,INR,1603704.55,Online,Alert
TXN00000140,ACC0000148,2026-06-13,CREDIT,GBP,457528.21,ATM,Review
TXN00000141,ACC0000218,2026-01-25,DEBIT,GBP,1251916.15,CrossBorder,Review
TXN00000142,ACC0001290,2026-01-08,CREDIT,EUR,1120303.37,CrossBorder,Normal
TXN00000143,ACC0000233,2026-04-03,CREDIT,INR,458243.78,Domestic,Alert
TXN00000144,ACC0001996,2026-06-16,CREDIT,AED,701531.79,Domestic,Normal
TXN00000145,ACC0001574,2026-04-22,DEBIT,INR,704763.38,CrossBorder,Normal
TXN00000146,ACC0001813,2026-07-13,CREDIT,GBP,654867.27,Domestic,Alert
TXN00000147,ACC0001157,2026-04-19,CREDIT,EUR,1569458.63,CrossBorder,Review
TXN00000148,ACC0001757,2026-07-16,DEBIT,EUR,1615585.12,Domestic,Alert
TXN00000149,ACC0001791,2026-05-24,CREDIT,EUR,1525264.97,Online,Normal
TXN00000150,ACC0001904,2026-03-29,CREDIT,EUR,579564.71,ATM,Normal
TXN00000151,ACC0000181,2026-05-19,CREDIT,USD,1103361.85,ATM,Normal
TXN00000152,ACC0001696,2026-06-28,CREDIT,GBP,1450300.88,Domestic,Review
TXN00000153,ACC0001271,2026-01-06,DEBIT,USD,1824474.53,Branch,Normal
TXN00000154,ACC0000658,2026-02-27,CREDIT,EUR,380339.85,CrossBorder,Review
TXN00000155,ACC0000888,2026-01-28,DEBIT,GBP,312649.33,ATM,Alert
TXN00000156,ACC0001453,2026-01-21,CREDIT,USD,1863097.06,Domestic,Review
TXN00000157,ACC0001800,2026-05-22,CREDIT,USD,829644.45,Branch,Alert
TXN00000158,ACC0000273,2026-08-12,DEBIT,GBP,1079079.91,CrossBorder,Review
TXN00000159,ACC0001938,2026-06-12,CREDIT,EUR,479767.77,CrossBorder,Alert
TXN00000160,ACC0001332,2026-06-07,DEBIT,AED,1092370.97,Online,Normal
TXN00000161,ACC0001467,2026-08-26,DEBIT,AED,536789.87,Online,Alert
TXN00000162,ACC0001289,2026-08-06,DEBIT,EUR,103324.91,Branch,Normal
TXN00000163,ACC0001799,2026-01-21,DEBIT,EUR,1135243.62,Branch,Review
TXN00000164,ACC0000677,2026-05-25,CREDIT,USD,1931444.27,CrossBorder,Alert
TXN00000165,ACC0001531,2026-03-06,DEBIT,AED,510040.19,CrossBorder,Normal
TXN00000166,ACC0000949,2026-06-16,DEBIT,GBP,909169.93,Branch,Review
TXN00000167,ACC0000513,2026-06-02,CREDIT,USD,1618157.35,CrossBorder,Normal
TXN00000168,ACC0000984,2026-07-29,DEBIT,INR,1756908.65,ATM,Alert
TXN00000169,ACC0000791,2026-07-30,DEBIT,INR,1307217.59,CrossBorder,Alert
TXN00000170,ACC0000865,2026-01-04,CREDIT,INR,1015336.88,Online,Review
TXN00000171,ACC0001711,2026-06-07,CREDIT,INR,1021391.29,Branch,Alert
TXN00000172,ACC0001230,2026-05-19,CREDIT,USD,945576.24,Domestic,Normal
TXN00000173,ACC0000227,2026-01-12,DEBIT,EUR,6586.12,ATM,Review
TXN00000174,ACC0001430,2026-07-21,DEBIT,GBP,631884.58,CrossBorder,Alert
TXN00000175,ACC0000275,2026-03-31,DEBIT,EUR,267789.35,Domestic,Alert
TXN00000176,ACC0001394,2026-07-21,DEBIT,INR,1916334.56,Domestic,Normal
TXN00000177,ACC0001164,2026-03-11,DEBIT,USD,804051.59,Branch,Alert
TXN00000178,ACC0001917,2026-02-03,CREDIT,EUR,682897.2,Domestic,Review
TXN00000179,ACC0001650,2026-04-22,CREDIT,INR,1700021.67,Domestic,Alert
TXN00000180,ACC0001050,2026-05-19,DEBIT,EUR,596786.38,Domestic,Review
TXN00000181,ACC0000492,2026-04-28,DEBIT,USD,320246.26,Branch,Review
TXN00000182,ACC0000668,2026-04-20,CREDIT,INR,1681112.44,ATM,Alert
TXN00000183,ACC0000475,2026-04-01,DEBIT,AED,1117109.45,Domestic,Alert
TXN00000184,ACC0001908,2026-05-07,CREDIT,USD,926906.26,Domestic,Alert
TXN00000185,ACC0001383,2026-06-05,CREDIT,USD,895110.27,Online,Review
TXN00000186,ACC0000506,2026-01-23,CREDIT,INR,1586082.33,ATM,Alert
TXN00000187,ACC0001661,2026-02-19,DEBIT,GBP,1716093.89,Branch,Normal
TXN00000188,ACC0000427,2026-03-26,DEBIT,INR,1389268.57,ATM,Alert
TXN00000189,ACC0000140,2026-06-10,DEBIT,AED,548200.34,Domestic,Review
TXN00000190,ACC0000543,2026-08-25,DEBIT,EUR,268740.71,Branch,Review
TXN00000191,ACC0001583,2026-06-09,CREDIT,INR,1049595.08,Branch,Normal
TXN00000192,ACC0000198,2026-07-13,CREDIT,EUR,755593.82,Domestic,Review
TXN00000193,ACC0001365,2026-07-16,DEBIT,GBP,1070821.89,Online,Normal
TXN00000194,ACC0000516,2026-02-06,DEBIT,USD,1384594.11,Online,Review
TXN00000195,ACC0001215,2026-07-03,DEBIT,EUR,1430542.66,CrossBorder,Review
TXN00000196,ACC0001819,2026-03-11,DEBIT,EUR,60255.67,Online,Normal
TXN00000197,ACC0000361,2026-05-21,DEBIT,USD,1905730.2,Online,Normal
TXN00000198,ACC0000429,2026-05-21,CREDIT,GBP,911482.73,CrossBorder,Normal
TXN00000199,ACC0000826,2026-08-07,DEBIT,USD,1206022.36,Online,Alert
TXN00000200,ACC0001292,2026-07-16,CREDIT,EUR,457743.94,CrossBorder,Alert
TXN00000201,ACC0001155,2026-08-11,CREDIT,GBP,340306.56,Branch,Review
TXN00000202,ACC0001513,2026-06-25,DEBIT,GBP,788291.66,Domestic,Alert
TXN00000203,ACC0001341,2026-06-11,DEBIT,AED,1054214.62,ATM,Alert
TXN00000204,ACC0001990,2026-06-04,CREDIT,USD,140678.91,Domestic,Alert
TXN00000205,ACC0001696,2026-07-28,CREDIT,USD,1467541.04,ATM,Review
TXN00000206,ACC0000260,2026-01-25,DEBIT,AED,650707.73,CrossBorder,Review
TXN00000207,ACC0001962,2026-06-26,DEBIT,EUR,503558.33,ATM,Alert
TXN00000208,ACC0000029,2026-03-14,DEBIT,EUR,336761.83,Domestic,Review
TXN00000209,ACC0001403,2026-07-16,DEBIT,INR,809480.05,CrossBorder,Normal
TXN00000210,ACC0000870,2026-07-05,DEBIT,GBP,1686662.52,Online,Normal
TXN00000211,ACC0000109,2026-01-16,CREDIT,USD,881292.83,Domestic,Review
TXN00000212,ACC0002000,2026-08-03,DEBIT,GBP,1595695.95,Domestic,Normal
TXN00000213,ACC0001534,2026-08-21,CREDIT,EUR,1607155.49,Online,Normal
TXN00000214,ACC0000768,2026-08-12,CREDIT,AED,1534404.55,Online,Alert
TXN00000215,ACC0001895,2026-01-02,CREDIT,AED,1333317.77,Domestic,Alert
TXN00000216,ACC0001020,2026-01-14,CREDIT,EUR,1620296.11,ATM,Normal
TXN00000217,ACC0001948,2026-01-16,DEBIT,GBP,470001.12,Branch,Alert
TXN00000218,ACC0000911,2026-08-12,DEBIT,USD,303087.23,Branch,Review
TXN00000219,ACC0001587,2026-08-23,DEBIT,EUR,451430.45,Branch,Review
TXN00000220,ACC0001823,2026-08-09,DEBIT,INR,178698.34,ATM,Alert
TXN00000221,ACC0000074,2026-01-12,DEBIT,AED,645252.12,ATM,Alert
TXN00000222,ACC0000139,2026-07-02,DEBIT,EUR,700330.5,Online,Review
TXN00000223,ACC0001614,2026-08-05,CREDIT,INR,286007.27,Domestic,Alert
TXN00000224,ACC0001235,2026-08-07,DEBIT,USD,811588.36,Online,Normal
TXN00000225,ACC0001052,2026-04-18,DEBIT,INR,1331819.2,Online,Alert
TXN00000226,ACC0000493,2026-08-08,DEBIT,USD,1764058.51,Domestic,Review
TXN00000227,ACC0000523,2026-05-19,DEBIT,GBP,925234.2,CrossBorder,Normal
TXN00000228,ACC0000275,2026-06-20,DEBIT,AED,183245.07,Branch,Alert
TXN00000229,ACC0000836,2026-02-23,DEBIT,AED,1762677.23,CrossBorder,Normal
TXN00000230,ACC0001727,2026-01-10,DEBIT,USD,1767805.26,CrossBorder,Review
TXN00000231,ACC0001315,2026-08-24,DEBIT,AED,230192.59,ATM,Normal
TXN00000232,ACC0001952,2026-07-11,CREDIT,INR,687231.33,Domestic,Alert
TXN00000233,ACC0001024,2026-06-27,DEBIT,USD,1836370.97,Domestic,Review
TXN00000234,ACC0001890,2026-04-20,DEBIT,INR,55486.18,Domestic,Normal
TXN00000235,ACC0000891,2026-06-25,CREDIT,AED,695148.26,Branch,Normal
TXN00000236,ACC0001624,2026-04-07,CREDIT,AED,1224756.67,CrossBorder,Alert
TXN00000237,ACC0001426,2026-05-19,DEBIT,GBP,385994.84,Online,Review
TXN00000238,ACC0001585,2026-01-29,DEBIT,GBP,34712.3,Domestic,Alert
TXN00000239,ACC0000147,2026-05-24,DEBIT,AED,726203.75,Domestic,Normal
TXN00000240,ACC0001669,2026-04-29,DEBIT,USD,769593.97,Domestic,Normal
TXN00000241,ACC0000696,2026-01-17,DEBIT,USD,1515783.28,Online,Normal
TXN00000242,ACC0001975,2026-08-24,CREDIT,USD,623122.29,ATM,Alert
TXN00000243,ACC0000328,2026-01-18,CREDIT,INR,1588559.24,Branch,Normal
TXN00000244,ACC0001619,2026-07-26,CREDIT,AED,909352.88,Domestic,Normal
TXN00000245,ACC0001399,2026-04-09,CREDIT,USD,1299782.01,Branch,Alert
TXN00000246,ACC0000910,2026-06-04,DEBIT,EUR,454402.74,Online,Review
TXN00000247,ACC0000893,2026-07-09,DEBIT,INR,43320.5,Branch,Review
TXN00000248,ACC0000758,2026-02-05,CREDIT,EUR,252826.89,ATM,Alert
TXN00000249,ACC0000559,2026-07-10,CREDIT,USD,990584.6,ATM,Alert
TXN00000250,ACC0000613,2026-06-27,CREDIT,USD,1959851.2,Domestic,Alert
TXN00000251,ACC0001050,2026-08-10,DEBIT,GBP,722069.85,CrossBorder,Review
TXN00000252,ACC0000664,2026-03-16,DEBIT,USD,338180.22,ATM,Normal
TXN00000253,ACC0000531,2026-01-24,CREDIT,EUR,1472838.13,CrossBorder,Review
TXN00000254,ACC0001805,2026-03-22,DEBIT,INR,470426.94,CrossBorder,Alert
TXN00000255,ACC0000438,2026-01-03,DEBIT,EUR,199124.19,CrossBorder,Normal
TXN00000256,ACC0000160,2026-02-01,CREDIT,EUR,279401.67,CrossBorder,Alert
TXN00000257,ACC0001779,2026-08-01,DEBIT,EUR,1433973.38,Branch,Normal
TXN00000258,ACC0001048,2026-02-16,CREDIT,USD,1482557.89,ATM,Alert
TXN00000259,ACC0001295,2026-02-15,CREDIT,INR,1627217.81,Domestic,Normal
TXN00000260,ACC0001058,2026-05-30,CREDIT,AED,1098571.12,Domestic,Alert
TXN00000261,ACC0000988,2026-05-30,CREDIT,USD,413260.91,Branch,Alert
TXN00000262,ACC0001686,2026-01-17,CREDIT,AED,1610863.35,Branch,Normal
TXN00000263,ACC0001291,2026-06-15,DEBIT,INR,323486.86,Branch,Normal
TXN00000264,ACC0001151,2026-05-25,DEBIT,AED,1271687.91,Branch,Normal
TXN00000265,ACC0000545,2026-03-02,CREDIT,GBP,1845701.6,Branch,Review
TXN00000266,ACC0000368,2026-05-19,CREDIT,GBP,1011002.53,Branch,Normal
TXN00000267,ACC0000743,2026-05-19,DEBIT,EUR,1317999.93,Branch,Review
TXN00000268,ACC0001025,2026-01-10,DEBIT,EUR,1112986.19,Branch,Normal
TXN00000269,ACC0000366,2026-03-13,DEBIT,EUR,522571.48,CrossBorder,Normal
TXN00000270,ACC0001344,2026-03-30,DEBIT,GBP,1028573.07,Domestic,Alert
TXN00000271,ACC0001486,2026-07-19,CREDIT,EUR,58610.93,CrossBorder,Alert
TXN00000272,ACC0000083,2026-07-26,DEBIT,GBP,511331.49,CrossBorder,Normal
TXN00000273,ACC0001898,2026-08-18,DEBIT,AED,1165710.6,Domestic,Normal
TXN00000274,ACC0000617,2026-04-29,DEBIT,AED,1153165.67,CrossBorder,Review
TXN00000275,ACC0000390,2026-06-15,CREDIT,GBP,1791123.36,Online,Review
TXN00000276,ACC0001566,2026-05-11,DEBIT,EUR,1354293.85,Domestic,Review
TXN00000277,ACC0000111,2026-07-19,CREDIT,GBP,1077573.83,ATM,Review
TXN00000278,ACC0001973,2026-03-12,DEBIT,USD,842792.26,Branch,Normal
TXN00000279,ACC0001336,2026-07-13,CREDIT,EUR,380158.84,ATM,Review
TXN00000280,ACC0001398,2026-04-24,CREDIT,AED,1339107.42,Domestic,Review
TXN00000281,ACC0000736,2026-08-02,DEBIT,EUR,1610411.04,ATM,Review
TXN00000282,ACC0001352,2026-04-19,DEBIT,GBP,1038875.51,ATM,Alert
TXN00000283,ACC0000121,2026-05-15,DEBIT,EUR,245827.14,Online,Normal
TXN00000284,ACC0000787,2026-01-30,CREDIT,GBP,1737665.94,CrossBorder,Normal
TXN00000285,ACC0001350,2026-02-24,DEBIT,AED,835617.64,Online,Review
TXN00000286,ACC0001068,2026-03-27,DEBIT,USD,355549.97,Branch,Review
TXN00000287,ACC0000047,2026-06-02,DEBIT,GBP,428988.53,Domestic,Alert
TXN00000288,ACC0000556,2026-05-17,DEBIT,AED,1315537.11,Online,Alert
TXN00000289,ACC0001562,2026-01-17,CREDIT,EUR,568477.62,Online,Alert
TXN00000290,ACC0000648,2026-04-23,DEBIT,AED,1904959.87,Online,Alert
TXN00000291,ACC0000438,2026-07-23,DEBIT,AED,1396187.69,Domestic,Alert
TXN00000292,ACC0000075,2026-08-22,DEBIT,USD,1296704.57,Domestic,Normal
TXN00000293,ACC0000869,2026-04-01,CREDIT,EUR,936816.83,Online,Review
TXN00000294,ACC0001658,2026-03-06,CREDIT,USD,594922.4,Domestic,Alert
TXN00000295,ACC0001448,2026-06-24,DEBIT,INR,640979.13,ATM,Normal
TXN00000296,ACC0000226,2026-06-27,CREDIT,USD,389416.28,ATM,Normal
TXN00000297,ACC0001529,2026-01-23,DEBIT,USD,1950237.72,Online,Alert
TXN00000298,ACC0000592,2026-06-09,DEBIT,USD,193241.85,Branch,Review
TXN00000299,ACC0000481,2026-07-10,DEBIT,INR,1526395.45,Online,Normal
TXN00000300,ACC0001693,2026-06-23,CREDIT,INR,663408.12,Branch,Review
TXN00000301,ACC0001981,2026-08-11,CREDIT,EUR,415189.58,CrossBorder,Normal
TXN00000302,ACC0001884,2026-01-22,CREDIT,EUR,1405416.26,Branch,Alert
TXN00000303,ACC0001285,2026-08-23,DEBIT,EUR,947518.43,Branch,Review
TXN00000304,ACC0000858,2026-02-06,CREDIT,GBP,1678102.95,CrossBorder,Normal
TXN00000305,ACC0001536,2026-06-28,CREDIT,INR,1036975.22,Online,Alert
TXN00000306,ACC0000355,2026-05-01,CREDIT,EUR,453753.01,ATM,Normal
TXN00000307,ACC0000163,2026-07-19,CREDIT,GBP,1130470.79,Online,Alert
TXN00000308,ACC0000525,2026-01-28,CREDIT,AED,1377348.31,CrossBorder,Review
TXN00000309,ACC0000163,2026-06-15,DEBIT,INR,1549206.53,Domestic,Alert
TXN00000310,ACC0000555,2026-05-15,CREDIT,AED,1120732.35,CrossBorder,Review
TXN00000311,ACC0000850,2026-06-28,CREDIT,GBP,419889.43,Branch,Review
TXN00000312,ACC0000886,2026-03-01,DEBIT,EUR,1467554.46,Branch,Alert
TXN00000313,ACC0001652,2026-05-16,DEBIT,AED,1518111.33,ATM,Review
TXN00000314,ACC0000968,2026-03-01,DEBIT,GBP,665798.59,Domestic,Review
TXN00000315,ACC0001709,2026-06-27,DEBIT,USD,896628.79,Online,Alert
