loan_id,customer_id,product,currency,principal,interest_rate,status,risk_band
LOAN0000052,CUST001974,trade finance,GBP,1490943.49,17.75,Performing,Medium
LOAN0000053,CUST007847,working capital,INR,866025.23,17.81,NonPerforming,Very High
LOAN0000054,CUST000741,term loan,INR,2359928.34,12.03,Watch,High
LOAN0000055,CUST009739,mortgage,USD,7986121.25,16.61,Performing,Medium
LOAN0000056,CUST004081,working capital,INR,4207085.28,5.35,NonPerforming,Low
LOAN0000057,CUST009900,mortgage,USD,5715432.73,8.55,NonPerforming,Low
LOAN0000058,CUST008765,term loan,GBP,4742095.08,13.07,Watch,Medium
LOAN0000059,CUST009873,working capital,INR,7540111.01,10.11,NonPerforming,High
LOAN0000060,CUST002436,term loan,INR,334865.57,17.25,Watch,Medium
LOAN0000061,CUST003353,credit card,INR,1789496.05,16.17,NonPerforming,Very High
LOAN0000062,CUST000657,commercial overdraft,GBP,9514932.66,8.07,Watch,Very High
LOAN0000063,CUST000747,trade finance,GBP,1999282.16,15.04,Watch,High
LOAN0000064,CUST008265,term loan,INR,120686.85,10.72,Watch,Low
LOAN0000065,CUST009899,trade finance,GBP,3831032.75,6.84,NonPerforming,Low
LOAN0000066,CUST000208,mortgage,GBP,7822751.11,5.46,Watch,Low
LOAN0000067,CUST007294,working capital,INR,7010990.66,12.23,NonPerforming,Very High
LOAN0000068,CUST005558,mortgage,GBP,2380456.49,11.77,Performing,High
LOAN0000069,CUST009081,credit card,INR,4620728.35,11.8,NonPerforming,Low
LOAN0000070,CUST004336,working capital,GBP,7455454.08,11.26,Performing,Low
LOAN0000071,CUST005798,credit card,USD,7743676.1,14.75,Performing,Medium
LOAN0000072,CUST002605,trade finance,INR,7389356.68,12.34,Watch,Medium
LOAN0000073,CUST000965,term loan,USD,6401100.83,11.61,NonPerforming,Very High
LOAN0000074,CUST002720,mortgage,INR,5911398.86,15.55,NonPerforming,Medium
LOAN0000075,CUST005980,commercial overdraft,GBP,1984734.88,9.1,Performing,Medium
LOAN0000076,CUST000688,credit card,INR,6661172.69,16.29,Performing,Low
LOAN0000077,CUST002697,working capital,INR,1203265.66,5.12,Watch,Medium
LOAN0000078,CUST001928,commercial overdraft,GBP,3465636.64,5.44,NonPerforming,Low
LOAN0000079,CUST007511,trade finance,USD,2766905.02,5.48,Performing,High
LOAN0000080,CUST009217,trade finance,GBP,4629108.95,17.86,NonPerforming,Low
LOAN0000081,CUST009357,mortgage,USD,6601455.21,7.05,Performing,Low
LOAN0000082,CUST000598,mortgage,GBP,3179100.68,6.51,Performing,Medium
LOAN0000083,CUST002602,credit card,GBP,4945588.05,11.76,NonPerforming,Medium
LOAN0000084,CUST000760,credit card,USD,6288505.92,16.0,Watch,High
LOAN0000085,CUST004860,credit card,INR,4577892.94,16.6,NonPerforming,Very High
LOAN0000086,CUST002636,trade finance,INR,5047424.7,6.01,Watch,Medium
LOAN0000087,CUST008920,credit card,USD,6208815.29,6.76,NonPerforming,Low
LOAN0000088,CUST006311,trade finance,INR,7133603.96,9.91,NonPerforming,Medium
LOAN0000089,CUST004902,mortgage,INR,5785029.98,13.96,Watch,Medium
LOAN0000090,CUST001540,trade finance,USD,5610475.6,13.48,NonPerforming,Low
LOAN0000091,CUST007880,term loan,USD,3871214.86,7.37,Watch,Very High
LOAN0000092,CUST006661,mortgage,GBP,9513736.11,9.85,Watch,Low
LOAN0000093,CUST009602,mortgage,GBP,1532071.64,9.54,NonPerforming,High
LOAN0000094,CUST002368,mortgage,GBP,8439339.65,9.01,Watch,Medium
LOAN0000095,CUST009685,credit card,INR,4068281.35,17.32,Performing,High
LOAN0000096,CUST000355,term loan,GBP,724337.25,7.35,NonPerforming,Medium
LOAN0000097,CUST001963,credit card,GBP,7902348.62,16.51,NonPerforming,Low
LOAN0000098,CUST006141,credit card,INR,2065834.82,9.81,Watch,High
LOAN0000099,CUST009898,credit card,USD,144531.48,6.66,Performing,Medium
LOAN0000100,CUST000483,trade finance,USD,7025558.29,6.34,NonPerforming,Very High
LOAN0000101,CUST000708,term loan,GBP,6660817.3,16.68,NonPerforming,High
LOAN0000102,CUST006435,credit card,INR,7041190.48,10.45,Watch,Very High
LOAN0000103,CUST009484,working capital,USD,4345157.09,16.69,Performing,High
LOAN0000104,CUST000323,commercial overdraft,USD,9883330.93,9.65,NonPerforming,High
LOAN0000105,CUST005058,term loan,INR,8823541.39,14.43,Watch,High
LOAN0000106,CUST001533,mortgage,GBP,7475208.63,7.62,NonPerforming,Medium
LOAN0000107,CUST002177,working capital,GBP,2087374.88,7.47,Performing,High
LOAN0000108,CUST003965,working capital,USD,4712330.8,17.81,NonPerforming,High
LOAN0000109,CUST001648,working capital,INR,7285921.94,11.16,Watch,Medium
LOAN0000110,CUST008786,term loan,USD,1436792.77,7.53,Performing,Very High
LOAN0000111,CUST003234,term loan,GBP,7487556.03,9.42,Performing,Medium
LOAN0000112,CUST003444,trade finance,GBP,5413358.02,9.18,Performing,Low
LOAN0000113,CUST009812,credit card,GBP,5734601.4,5.25,Performing,Medium
LOAN0000114,CUST008054,trade finance,INR,5480811.22,15.54,NonPerforming,Low
LOAN0000115,CUST004349,mortgage,USD,6469854.47,7.59,NonPerforming,Very High
LOAN0000116,CUST007743,credit card,GBP,7801920.08,13.97,Watch,High
LOAN0000117,CUST001695,commercial overdraft,USD,1148341.97,13.61,NonPerforming,High
LOAN0000118,CUST006821,term loan,USD,7757477.42,13.41,Performing,Low
LOAN0000119,CUST000799,term loan,GBP,2445672.17,11.05,NonPerforming,Very High
LOAN0000120,CUST002110,term loan,GBP,6141409.97,10.0,NonPerforming,High
LOAN0000121,CUST004427,mortgage,GBP,391811.57,12.28,NonPerforming,Medium
LOAN0000122,CUST003789,commercial overdraft,INR,9022595.25,12.57,NonPerforming,High
LOAN0000123,CUST003182,trade finance,GBP,9583866.72,12.6,NonPerforming,Low
LOAN0000124,CUST009229,mortgage,USD,9079302.77,16.42,NonPerforming,Low
LOAN0000125,CUST004128,trade finance,INR,1070284.08,8.79,Performing,Very High
LOAN0000126,CUST000405,term loan,GBP,4150409.48,13.52,NonPerforming,Low
LOAN0000127,CUST004506,mortgage,INR,187898.89,7.44,Performing,Low
LOAN0000128,CUST002052,term loan,USD,9570870.23,9.12,NonPerforming,Very High
LOAN0000129,CUST004257,mortgage,USD,7448879.9,6.17,Watch,Medium
LOAN0000130,CUST006707,working capital,GBP,7071032.43,9.26,Watch,Medium
LOAN0000131,CUST002633,working capital,INR,4791144.98,17.37,NonPerforming,Very High
LOAN0000132,CUST003354,credit card,USD,7370795.03,9.06,NonPerforming,Medium
LOAN0000133,CUST008960,credit card,INR,2638272.16,11.65,Performing,High
LOAN0000134,CUST008396,working capital,GBP,8801338.96,16.48,Performing,Low
LOAN0000135,CUST008214,mortgage,INR,2836330.72,17.99,Watch,Low
LOAN0000136,CUST006504,credit card,USD,7580494.4,5.89,Performing,High
LOAN0000137,CUST004716,working capital,INR,7008633.65,17.97,Performing,Medium
LOAN0000138,CUST005923,commercial overdraft,GBP,1011487.12,5.44,Watch,Very High
LOAN0000139,CUST007392,credit card,USD,8108878.17,13.93,NonPerforming,Very High
LOAN0000140,CUST001773,working capital,GBP,9116893.24,10.8,NonPerforming,High
LOAN0000141,CUST002647,trade finance,GBP,1745314.4,15.74,Watch,Medium
LOAN0000142,CUST003408,mortgage,GBP,890163.16,13.44,NonPerforming,Low
LOAN0000143,CUST000269,term loan,USD,95447.79,8.47,Performing,Low
LOAN0000144,CUST002489,credit card,USD,8493874.09,5.34,Watch,High
LOAN0000145,CUST003774,term loan,USD,687731.39,12.63,Watch,Low
LOAN0000146,CUST002728,credit card,GBP,7319336.7,17.35,Performing,Very High
LOAN0000147,CUST008958,working capital,USD,9893839.58,5.12,NonPerforming,Low
LOAN0000148,CUST000742,term loan,GBP,2804054.57,9.31,NonPerforming,Low
LOAN0000149,CUST003713,term loan,INR,5391882.02,17.87,NonPerforming,Very High
LOAN0000150,CUST004335,working capital,GBP,3719636.26,8.39,Performing,Low
LOAN0000151,CUST004323,mortgage,USD,6922539.85,8.05,NonPerforming,Very High
LOAN0000152,CUST005955,term loan,GBP,4260381.92,5.99,Watch,Very High
LOAN0000153,CUST004726,credit card,GBP,745948.09,6.91,NonPerforming,Low
LOAN0000154,CUST008144,credit card,GBP,359552.17,12.75,Performing,Low
LOAN0000155,CUST002175,working capital,USD,645760.12,16.85,Performing,Very High
LOAN0000156,CUST005208,term loan,USD,8624402.77,11.78,Performing,Medium
LOAN0000157,CUST008668,term loan,INR,5894821.52,14.18,Watch,Low
LOAN0000158,CUST002790,working capital,USD,7334785.03,9.85,Performing,Medium
LOAN0000159,CUST003633,mortgage,USD,6555562.63,16.9,Watch,High
LOAN0000160,CUST006069,term loan,USD,4935338.19,8.72,Watch,Very High
LOAN0000161,CUST008209,commercial overdraft,USD,2138434.39,13.17,Watch,High
LOAN0000162,CUST006126,working capital,INR,7940090.34,15.14,NonPerforming,Low
LOAN0000163,CUST006999,trade finance,INR,1755820.04,7.01,NonPerforming,Low
LOAN0000164,CUST001464,term loan,USD,2171948.76,12.72,Performing,Very High
LOAN0000165,CUST003671,commercial overdraft,INR,3762004.51,7.37,Watch,Very High
LOAN0000166,CUST001001,trade finance,INR,4465513.18,8.13,Watch,Very High
LOAN0000167,CUST000209,working capital,GBP,3954288.04,7.89,NonPerforming,Medium
LOAN0000168,CUST000906,credit card,INR,970196.9,16.2,NonPerforming,Low
LOAN0000169,CUST002660,trade finance,USD,1533758.84,10.51,Performing,Medium
LOAN0000170,CUST001831,trade finance,USD,6328584.38,13.98,Watch,Very High
LOAN0000171,CUST003290,trade finance,USD,6159549.08,16.75,Performing,Medium
LOAN0000172,CUST006747,mortgage,GBP,1561047.0,15.71,Performing,Medium
LOAN0000173,CUST007780,working capital,INR,683438.79,8.89,Performing,Medium
LOAN0000174,CUST004565,mortgage,USD,1406479.65,6.07,Performing,Very High
LOAN0000175,CUST004117,working capital,USD,7234029.82,17.67,Watch,Medium
LOAN0000176,CUST007632,credit card,GBP,8791099.95,13.38,Performing,Medium
LOAN0000177,CUST000820,trade finance,GBP,6295721.87,12.36,Watch,Low
LOAN0000178,CUST008863,trade finance,USD,7811008.68,16.48,NonPerforming,Low
LOAN0000179,CUST007989,credit card,USD,9320990.13,6.09,Performing,Very High
LOAN0000180,CUST005429,commercial overdraft,GBP,2298417.51,11.77,NonPerforming,Low
LOAN0000181,CUST002484,mortgage,USD,4353010.27,9.91,Performing,High
LOAN0000182,CUST006701,trade finance,USD,8617393.9,5.37,Performing,Low
LOAN0000183,CUST009203,working capital,GBP,1562490.93,9.93,Watch,Low
LOAN0000184,CUST001138,credit card,USD,8228611.35,5.81,Performing,Very High
LOAN0000185,CUST004837,term loan,USD,9671882.59,16.95,NonPerforming,High
LOAN0000186,CUST004064,credit card,USD,5076644.97,10.3,Watch,Very High
LOAN0000187,CUST002967,credit card,GBP,3926209.36,10.52,NonPerforming,Low
LOAN0000188,CUST009809,term loan,GBP,6692241.1,14.61,Watch,High
LOAN0000189,CUST004315,term loan,INR,1032242.85,11.9,NonPerforming,High
LOAN0000190,CUST008867,working capital,USD,74164.76,17.47,NonPerforming,Low
LOAN0000191,CUST002484,commercial overdraft,GBP,5599991.09,13.31,NonPerforming,Medium
LOAN0000192,CUST007448,credit card,USD,4399769.32,16.38,Performing,Very High
LOAN0000193,CUST005466,commercial overdraft,INR,6407246.8,8.96,NonPerforming,Very High
LOAN0000194,CUST005721,term loan,GBP,1764609.93,16.6,NonPerforming,High
LOAN0000195,CUST005371,trade finance,INR,4276228.59,8.67,Watch,Very High
LOAN0000196,CUST007062,term loan,USD,1112329.57,14.64,Watch,Low
LOAN0000197,CUST000653,credit card,GBP,8052356.49,14.35,NonPerforming,Low
LOAN0000198,CUST008269,credit card,USD,4106859.12,6.98,NonPerforming,Low
LOAN0000199,CUST004688,working capital,GBP,9437138.87,12.88,NonPerforming,Low
LOAN0000200,CUST008716,mortgage,INR,2963027.88,10.95,NonPerforming,Medium
LOAN0000201,CUST000330,working capital,USD,4540957.77,8.92,Watch,High
LOAN0000202,CUST006048,term loan,INR,6308021.93,5.44,Performing,Medium
LOAN0000203,CUST007568,working capital,INR,9883570.78,11.76,NonPerforming,Medium
LOAN0000204,CUST000319,credit card,GBP,4479529.62,7.66,Watch,Low
LOAN0000205,CUST007374,term loan,INR,9191086.59,5.61,Watch,Very High
LOAN0000206,CUST008849,mortgage,USD,8439510.02,12.27,Performing,Low
LOAN0000207,CUST001507,mortgage,GBP,7285307.78,6.83,Watch,High
LOAN0000208,CUST004837,mortgage,USD,5118418.05,15.02,Performing,Very High
LOAN0000209,CUST009532,trade finance,GBP,605012.27,14.53,NonPerforming,Medium
LOAN0000210,CUST004977,commercial overdraft,INR,3407178.51,7.84,Watch,Medium
LOAN0000211,CUST003730,term loan,GBP,3965563.92,10.86,Performing,High
LOAN0000212,CUST008764,credit card,GBP,7275414.81,6.45,Watch,High
LOAN0000213,CUST000064,term loan,INR,7606275.18,14.89,Performing,Very High
LOAN0000214,CUST004907,trade finance,INR,2518082.65,14.61,Watch,Very High
LOAN0000215,CUST005173,term loan,USD,340955.09,11.46,Watch,Medium
LOAN0000216,CUST004389,mortgage,INR,8253514.72,15.86,Watch,Very High
LOAN0000217,CUST000791,working capital,USD,4764252.71,10.86,NonPerforming,High
LOAN0000218,CUST002971,working capital,GBP,8957519.05,9.15,Performing,Medium
LOAN0000219,CUST001459,commercial overdraft,INR,6761551.83,13.08,NonPerforming,Very High
LOAN0000220,CUST008902,term loan,USD,5838717.11,15.61,Watch,Low
LOAN0000221,CUST006545,working capital,USD,4321213.93,8.74,Watch,High
LOAN0000222,CUST005068,term loan,GBP,5045928.77,9.13,NonPerforming,Very High
LOAN0000223,CUST002740,term loan,GBP,278248.56,9.55,Performing,Low
LOAN0000224,CUST003522,term loan,GBP,2954239.62,6.27,Watch,High
LOAN0000225,CUST005314,mortgage,GBP,9217978.43,6.92,Performing,Very High
LOAN0000226,CUST004904,mortgage,INR,8537912.04,5.94,Watch,High
LOAN0000227,CUST001669,working capital,GBP,8420595.28,17.85,NonPerforming,High
LOAN0000228,CUST000856,trade finance,INR,6072269.76,17.05,Watch,Very High
LOAN0000229,CUST001780,working capital,USD,4285129.61,11.22,Watch,Low
LOAN0000230,CUST000834,working capital,INR,1691350.13,5.46,NonPerforming,Low
LOAN0000231,CUST003636,mortgage,INR,7304260.33,16.22,NonPerforming,Low
LOAN0000232,CUST001132,trade finance,GBP,3286905.66,11.7,Watch,Low
LOAN0000233,CUST003040,commercial overdraft,USD,7376049.1,10.15,NonPerforming,Medium
LOAN0000234,CUST007438,mortgage,INR,8958013.39,14.36,NonPerforming,Low
LOAN0000235,CUST001208,trade finance,USD,3772863.35,14.78,Performing,High
LOAN0000236,CUST004693,mortgage,INR,3369696.54,16.08,NonPerforming,High
LOAN0000237,CUST003688,term loan,INR,9563630.91,14.02,NonPerforming,Medium
LOAN0000238,CUST005734,mortgage,INR,9750252.45,5.7,NonPerforming,Medium
LOAN0000239,CUST002309,term loan,GBP,993153.51,15.33,NonPerforming,Low
LOAN0000240,CUST007596,trade finance,INR,5973002.1,13.44,NonPerforming,High
LOAN0000241,CUST003724,credit card,GBP,851025.4,16.89,Performing,Medium
LOAN0000242,CUST004578,term loan,INR,6141818.79,8.36,Performing,Medium
LOAN0000243,CUST000919,commercial overdraft,GBP,1737814.54,15.96,Watch,Low
LOAN0000244,CUST008788,term loan,INR,9219330.57,14.29,Watch,High
LOAN0000245,CUST000806,term loan,USD,3973412.19,14.14,Watch,Very High
LOAN0000246,CUST005353,trade finance,USD,3945715.45,16.83,Performing,Low
LOAN0000247,CUST005982,term loan,GBP,4528017.3,6.95,Watch,Low
LOAN0000248,CUST009461,working capital,INR,4299217.37,12.17,NonPerforming,Low
LOAN0000249,CUST007559,mortgage,GBP,6565242.75,8.04,Watch,Low
LOAN0000250,CUST000057,working capital,INR,7215754.65,11.29,Performing,High
LOAN0000251,CUST001952,term loan,USD,4949794.92,12.28,Watch,Very High
LOAN0000252,CUST004612,mortgage,USD,2008998.99,16.45,Watch,Medium
LOAN0000253,CUST009451,credit card,USD,619144.8,13.17,Watch,Very High
LOAN0000254,CUST007577,credit card,USD,7338034.2,8.32,Performing,Medium
LOAN0000255,CUST002223,working capital,GBP,7886364.21,13.92,NonPerforming,Medium
LOAN0000256,CUST002634,working capital,GBP,4440617.73,9.38,Watch,Very High
LOAN0000257,CUST005441,mortgage,INR,3165092.26,14.58,Performing,Medium
LOAN0000258,CUST006912,credit card,GBP,5602905.8,12.5,NonPerforming,Medium
LOAN0000259,CUST005502,term loan,GBP,1106823.39,11.51,Performing,High
LOAN0000260,CUST003538,mortgage,GBP,2466017.85,12.99,Watch,High
LOAN0000261,CUST001551,commercial overdraft,INR,3697984.58,16.82,Watch,Very High
LOAN0000262,CUST000639,commercial overdraft,GBP,5094995.36,6.02,Watch,High
LOAN0000263,CUST005089,credit card,INR,1958418.94,9.4,Performing,Very High
LOAN0000264,CUST007833,term loan,INR,8749740.2,13.32,NonPerforming,Very High
LOAN0000265,CUST005582,trade finance,GBP,3912441.08,10.31,Watch,High
LOAN0000266,CUST005091,commercial overdraft,USD,2030410.44,9.03,Watch,Very High
LOAN0000267,CUST000899,term loan,USD,8866676.56,14.01,Watch,Low
LOAN0000268,CUST009019,mortgage,USD,3059779.64,15.24,Watch,Medium
LOAN0000269,CUST009611,trade finance,INR,566163.87,8.65,Watch,Medium
LOAN0000270,CUST008773,credit card,USD,358795.68,12.55,Watch,Low
LOAN0000271,CUST008046,working capital,INR,4748289.82,13.78,Watch,Medium
LOAN0000272,CUST009326,trade finance,GBP,8587570.03,9.81,NonPerforming,High
LOAN0000273,CUST008484,commercial overdraft,GBP,2268032.66,17.23,Performing,Very High
LOAN0000274,CUST006499,commercial overdraft,GBP,5723474.05,14.19,Watch,Low
LOAN0000275,CUST008322,trade finance,INR,954395.22,14.0,Performing,High
LOAN0000276,CUST009645,term loan,INR,5695032.43,16.8,Performing,Low
LOAN0000277,CUST004748,mortgage,USD,3033955.83,8.69,NonPerforming,High
LOAN0000278,CUST000181,mortgage,GBP,3903394.16,15.99,Performing,High
LOAN0000279,CUST006805,trade finance,USD,4379985.48,6.91,Watch,Low
LOAN0000280,CUST002567,commercial overdraft,GBP,6210195.89,10.1,Watch,Very High
LOAN0000281,CUST009230,credit card,INR,7723771.8,16.26,Performing,Very High
LOAN0000282,CUST008198,commercial overdraft,GBP,5390692.86,14.88,NonPerforming,Very High
LOAN0000283,CUST004481,term loan,USD,5407675.28,11.7,Performing,Medium
LOAN0000284,CUST008399,term loan,USD,8739260.9,9.33,Watch,Low
LOAN0000285,CUST007774,credit card,USD,5013857.97,5.05,Performing,Medium
LOAN0000286,CUST001278,credit card,USD,9531057.58,9.35,NonPerforming,Medium
LOAN0000287,CUST001386,term loan,INR,6583295.15,9.88,Watch,High
LOAN0000288,CUST006355,term loan,USD,7583939.05,17.72,Watch,Very High
LOAN0000289,CUST003046,commercial overdraft,INR,2769370.14,16.38,NonPerforming,Medium
LOAN0000290,CUST006750,mortgage,GBP,8881551.85,9.37,Performing,High
LOAN0000291,CUST008747,credit card,USD,9942145.46,7.95,Performing,Low
LOAN0000292,CUST002173,credit card,GBP,29471.04,13.46,Watch,Very High
LOAN0000293,CUST002525,credit card,GBP,580459.12,6.93,Performing,High
LOAN0000294,CUST004280,mortgage,GBP,7188146.42,16.08,Watch,Very High
LOAN0000295,CUST005408,term loan,GBP,3332203.76,5.96,Watch,Very High
LOAN0000296,CUST008448,trade finance,USD,948694.0,5.82,Watch,Low
LOAN0000297,CUST001661,commercial overdraft,GBP,3236928.7,14.6,Performing,High
LOAN0000298,CUST004180,term loan,USD,8627716.86,16.35,Watch,Low
LOAN0000299,CUST006449,mortgage,INR,2700534.85,8.6,Performing,Low
LOAN0000300,CUST007904,trade finance,USD,2144334.96,12.04,Performing,Low
LOAN0000301,CUST003016,term loan,INR,9780787.0,8.75,NonPerforming,High
LOAN0000302,CUST005559,credit card,USD,4047594.82,8.95,Watch,Very High
LOAN0000303,CUST008311,trade finance,USD,4998963.56,15.31,NonPerforming,Low
LOAN0000304,CUST003763,commercial overdraft,INR,8472867.96,11.59,NonPerforming,Very High
LOAN0000305,CUST004094,credit card,USD,3215659.49,9.29,Watch,Very High
LOAN0000306,CUST005757,trade finance,GBP,8753072.47,15.17,Watch,Medium
LOAN0000307,CUST005009,working capital,INR,5860947.07,8.58,NonPerforming,Medium
LOAN0000308,CUST004379,mortgage,GBP,9522088.52,8.98,Watch,Very High
LOAN0000309,CUST002328,mortgage,INR,600982.94,5.54,NonPerforming,Very High
LOAN0000310,CUST006536,mortgage,USD,5708398.55,5.2,NonPerforming,Low
LOAN0000311,CUST006052,credit card,USD,5998115.82,13.63,Watch,Low
LOAN0000312,CUST002579,mortgage,INR,1558347.01,12.82,Performing,High
LOAN0000313,CUST007044,trade finance,USD,9364883.05,8.74,NonPerforming,Medium
LOAN0000314,CUST004805,term loan,USD,3158239.15,15.61,Performing,High
LOAN0000315,CUST009602,term loan,GBP,1444444.61,16.76,Performing,Medium
LOAN0000316,CUST004529,credit card,USD,6981849.54,9.91,Watch,Low
LOAN0000317,CUST001377,working capital,GBP,5828115.46,14.61,Performing,Medium
LOAN0000318,CUST009607,commercial overdraft,GBP,1414899.42,8.45,Watch,Low
LOAN0000319,CUST008809,commercial overdraft,USD,2055155.33,7.56,NonPerforming,Medium
LOAN0000320,CUST005698,term loan,USD,3838791.53,10.26,Watch,Low
LOAN0000321,CUST007826,commercial overdraft,USD,5708050.4,11.9,NonPerforming,Medium
LOAN0000322,CUST001815,mortgage,GBP,334405.17,7.04,Performing,High
LOAN0000323,CUST005755,credit card,GBP,903328.25,11.88,Watch,Very High
LOAN0000324,CUST007102,mortgage,GBP,2906519.34,15.04,NonPerforming,Low
LOAN0000325,CUST004255,commercial overdraft,GBP,2929689.06,7.75,Performing,High
LOAN0000326,CUST002962,working capital,GBP,3401773.6,9.22,Watch,Medium
LOAN0000327,CUST000808,mortgage,GBP,9000750.86,16.92,NonPerforming,High
LOAN0000328,CUST009911,working capital,GBP,9141721.93,10.97,Watch,Very High
LOAN0000329,CUST003311,term loan,GBP,3996224.56,11.44,Performing,High
LOAN0000330,CUST007114,commercial overdraft,GBP,6774810.51,14.93,Watch,Very High
LOAN0000331,CUST002801,trade finance,USD,1452761.85,12.24,Performing,Low
LOAN0000332,CUST005891,trade finance,INR,1467767.84,10.03,Watch,Low
LOAN0000333,CUST001921,credit card,GBP,166426.02,10.81,Watch,High
LOAN0000334,CUST002248,term loan,USD,646256.3,12.63,Watch,Very High
LOAN0000335,CUST002236,commercial overdraft,USD,5999155.71,9.16,Performing,Low
LOAN0000336,CUST007497,credit card,GBP,3023075.09,7.72,NonPerforming,Very High
LOAN0000337,CUST002067,commercial overdraft,USD,117411.74,11.37,NonPerforming,Low
LOAN0000338,CUST009076,working capital,GBP,1998070.95,16.2,NonPerforming,Low
LOAN0000339,CUST003550,credit card,USD,6801466.19,6.39,Performing,High
LOAN0000340,CUST007459,commercial overdraft,GBP,8989296.04,14.49,Performing,Medium
LOAN0000341,CUST005948,trade finance,INR,1968741.96,5.28,Performing,Low
LOAN0000342,CUST006504,mortgage,INR,1320155.2,10.68,Watch,Medium
LOAN0000343,CUST006266,credit card,USD,9621179.04,15.94,Performing,High
LOAN0000344,CUST004245,term loan,INR,904984.0,12.91,Watch,High
LOAN0000345,CUST005970,credit card,USD,9553450.11,5.98,NonPerforming,Low
